"site_id","aggr_eco3_2015","aggr_eco9_2015","aquacultur","area_cat7","area_ha","areacls","bord_lake","cat_unique","ch0712_cat","ch0712_use","ch0712_wgt","cntyname","comid2007","comid2012","comids2007","des_ftype","disposal","dsgn_cat","dsgn12","eco_bio","eco_l3_nam","eco_nuta","eco3_x_origin","elevation","epa_reg","eval_name","evalstat","evaporate","feow_id","fs_ew","fw_eco3","fw_eco9","gnis_id","gnis_name","huc2","huc8","index_samp","lake_origin","lake_origin12","lakearea","lakename","lat_dd83","lon_dd83","maj_basin","mdcaty","meter_deep","miss_basin","na_l1code","na_l2code","na_l3code","nars_name","nes_lake","neslake","neslake_id","nesstoret","nhdname","non_saline","nut_reg","nutreg_name","open_water","own_type","ownshp","panel","perim_km","perm_water","phys_acces","publication_date","rchcode","reachcode","ref_cluster","ref_nutr","refclus_name","repeat_visit","rt_nla","sewage","siteid_07","sitesamp","sitetype","size_class","sld","srfc_area","st_dsgn","st_mdcaty","st_panel","st_siteid","st_stratum","st_wgt_all","st_wgt_cat","st_wgt_dsgn","state","state_name","state_nla","state_pcnt","statecty","status","status_dsk","status_fld","status_st","status_ver","stratum","tnt","tnt_st","urban","us_l3code","us_l3code_2015","us_l4code","us_l4code_2015","wgt_all","wgt_cat","wgt_dsgn","xcoord","ycoord"
"NLA06608-0204",NA,NA,"No","(20,50]",35.7705532,NA,NA,NA,NA,NA,NA,"WASHITA",680133,NA,NA,NA,"No","SPL_OK_(20,50]",NA,NA,"Central Great Plains","V","PLNLOW MAN-MADE",547.83,"Region_6",NA,NA,"No",NA,NA,"PLNLOW","SPL",NA,NA,11,11130302,"Secchi_Samp","MAN-MADE",NA,0.357705532,"Turkey Creek Site 6 Reservoir",35.43592446,-99.24197456,NA,"0.02910147","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","V","South Central Cultivated Great Plains","Yes",NA,NA,"Panel_1",3.250577621,"Yes","Yes",NA,NA,11130302002381,"C","Y","Plains and Lowlands: Low-elevation deep lakes and reservoirs-northern central Plains",NA,"SO-SO","No",NA,"YES","PROB_Lake","02:>10-50 ha",1.533178713,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"OK","Oklahoma",NA,NA,NA,"Target_Sampled","Do_Field","Sampleable",NA,"Target_Sampled","NLALake","Target",NA,"NO",27,NA,NA,NA,9.346499571,"OK",34.0317304,-291733.5443,-226224.9449
"NLA06608-0207",NA,NA,"No","(4,10]",7.39308686,NA,NA,NA,NA,NA,NA,"HARRIS",3429164,NA,NA,NA,"No","(4,10]",NA,NA,"Piedmont","IX","EHIGH MAN-MADE",189.95,"Region_4",NA,NA,"No",NA,NA,"EHIGH","SAP",NA,NA,3,3130003,"Secchi_Samp","MAN-MADE",NA,0.073930869,"Mahaffey Lake",32.60301252,-84.81807605,NA,"0.001312891","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mahaffey Lake","Yes","IX","Southeastern Temperate Forested Plains and Hills","Yes",NA,NA,"Panel_1",1.164496742,"Yes","Yes",NA,NA,3130003004590,"A","N","E. Highlands: Large, warm, and deep reservoirs","YES","SO-SO","No",NA,"YES","PROB_Lake","01: <10 ha",1.20814884,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"GA","Georgia",NA,NA,NA,"Target_Sampled","Do_Field","Sampleable",NA,"Target_Sampled","NLALake","Target",NA,"NO",45,NA,NA,NA,402.5352728,"GA",754.345388,1041259.539,-486453.39
"NLA06608-0208",NA,NA,"No","(50,100]",95.89271234,NA,NA,NA,NA,NA,NA,"POINSETT",9272602,NA,NA,NA,"No","CPL_AR_(50,100]",NA,NA,"Mississippi Alluvial Plain","CPL","PLNLOW MAN-MADE",69.01,"Region_6",NA,NA,"No",NA,NA,"PLNLOW","CPL",NA,NA,8,8020302,"Secchi_Samp","MAN-MADE",NA,0.958927123,"Lake Hogue",35.58384499,-90.96329594,NA,"0.0153186","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake Hogue","Yes","X","Texas-Louisiana Coastal and Mississippi Alluvial Plains","Yes",NA,NA,"Panel_1",3.883139932,"Yes","Yes",NA,NA,8020302003264,"D","N","Plains and Lowlands: Low-elevation shallow warm lakes and reservoirs-southern and Coastal Plain(s)",NA,"SO-SO","No",NA,"YES","PROB_Lake","03:>50-100 ha",1.118627026,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"AR","Arkansas",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"NO",73,NA,NA,NA,31.37309035,"AR",64.65169053,452233.3182,-202656.6161
"NLA06608-0209",NA,NA,"No",">100",1934.331091,NA,NA,NA,NA,NA,NA,"KING",24539662,NA,NA,NA,"No","NESLake",NA,NA,"Puget Lowland","II","WMTNS NATURAL",9.1,"Region_10",NA,NA,"No",NA,NA,"WMTNS","WMT",NA,NA,17,17110012,"Secchi_Samp","NATURAL",NA,19.34331091,"Lake Sammamish",47.57601003,-122.0836788,NA,"0.12642225","Yes",NA,NA,NA,NA,NA,NA,"NESLake","5311",NA,"Sammamish, Lake","Yes","II","Western Forested Mountains","Yes",NA,NA,"Panel_1",31.37929103,"Yes","Yes",NA,NA,17110012000406,"F","N","Western Mountains: High-elevation, cold, deep northern lakes and reservoirs","YES","TRASH","No",NA,"YES","PROB_Lake","05:>500-5000 ha",2.012670999,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"WA","Washington",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"YES",2,NA,NA,NA,2.337088279,"WA",7.833853361,-1950799.391,1393994.777
"NLA06608-0211",NA,NA,"No","(50,100]",57.96213093,NA,NA,NA,NA,NA,NA,"MAHNOMEN",9401350,NA,NA,NA,"No","UMW_MN_(50,100]",NA,NA,"North Central Hardwood Forests","VII","PLNLOW NATURAL",387.71,"Region_5",NA,NA,"No",NA,NA,"PLNLOW","UMW",NA,NA,9,9020301,"Secchi_Samp","NATURAL",NA,0.579621309,"Allen Lake",47.46534213,-95.76982211,NA,"0.006785479","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Allen Lake","Yes","VII","Mostly Glaciated Dairy Region","Yes",NA,NA,"Panel_1",3.003512582,"Yes","Yes",NA,NA,9020301001133,"E","N","Plains and Lowlands: Higher-elevation, shallow lakes and reservoirs-northern central Plains",NA,"REF","No",NA,"YES","PROB_Lake","03:>50-100 ha",1.112890286,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"MN","Minnesota",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"NO",51,NA,NA,NA,105.454706,"MN",145.9548217,17462.66522,1112380.405
"NLA06608-0212",NA,NA,"No",">100",2761.794457,NA,NA,NA,NA,NA,NA,"MONROE",18470130,NA,NA,NA,"No","NESLake",NA,NA,"Interior Plateau","IX","EHIGH MAN-MADE",172.67,"Region_5",NA,NA,"No",NA,NA,"EHIGH","SAP",NA,NA,5,5120208,"Secchi_Samp","MAN-MADE",NA,27.61794457,"Monroe Lake",39.02766863,-86.46847503,NA,"0.12642225","Yes",NA,NA,NA,NA,NA,NA,"NESLake","1828",NA,"Monroe Lake","Yes","IX","Southeastern Temperate Forested Plains and Hills","Yes",NA,NA,"Panel_1",91.18767065,"Yes","Yes",NA,NA,5120208000847,"A","N","E. Highlands: Large, warm, and deep reservoirs",NA,"SO-SO","No",NA,"YES","PROB_Lake","05:>500-5000 ha",4.894806332,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"IN","Indiana",NA,NA,NA,"Target_Sampled","Sampleable","Sampleable",NA,"Target_Sampled","NLALake","Target",NA,"YES",71,NA,NA,NA,2.451426407,"IN",7.833853361,816141.7612,212187.5535
"NLA06608-0215",NA,NA,"No",">100",385.3673642,NA,NA,NA,NA,NA,NA,"KANDIYOHI",4251590,NA,NA,NA,"No","NESLake",NA,NA,"North Central Hardwood Forests","VII","PLNLOW NATURAL",355.29,"Region_5",NA,NA,"No",NA,NA,"PLNLOW","UMW",NA,NA,7,7010204,"Secchi_Samp","NATURAL",NA,3.853673642,"Nest Lake",45.2593824,-94.96441345,NA,"0.12642225","Yes",NA,NA,NA,NA,NA,NA,"NESLake","27B3",NA,"Nest Lake","Yes","VII","Mostly Glaciated Dairy Region","Yes",NA,NA,"Panel_1",13.99729595,"Yes","Yes",NA,NA,7010204001620,"C","N","Plains and Lowlands: Low-elevation deep lakes and reservoirs-northern central Plains",NA,"SO-SO","No",NA,"YES","PROB_Lake","04:>100-500 ha",2.011415288,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"MN","Minnesota",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"YES",51,NA,NA,NA,5.66008504,"MN",7.833853361,81229.33739,868231.6719
"NLA06608-0216",NA,NA,"No","(20,50]",32.08407696,NA,NA,NA,NA,NA,NA,"GAGE",18821320,NA,NA,NA,"No","TPL_NE_(20,50]",NA,NA,"Western Corn Belt Plains","VI","PLNLOW MAN-MADE",425.89,"Region_7",NA,NA,"No",NA,NA,"PLNLOW","TPL",NA,NA,10,10270202,"Secchi_Samp","MAN-MADE",NA,0.32084077,"Cedar Creek Lake",40.3285507,-96.52877618,NA,"0.012044843","Missing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","VI","Corn Belt and Northern Great Plains","Missing",NA,NA,"Panel_1",4.582722553,"Yes","Yes",NA,NA,10270202001286,"E","N","Plains and Lowlands: Higher-elevation, shallow lakes and reservoirs-northern central Plains",NA,"SO-SO","No",NA,"YES","PROB_Lake","02:>10-50 ha",2.282305928,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"NE","Nebraska",NA,NA,NA,"Target_Sampled","Do_Field",NA,NA,"Target_Sampled","NLALake","Target",NA,"NO",47,NA,NA,NA,21.00967899,"NE",82.2238476,-44541.3876,317125.0691
"NLA06608-0217",NA,NA,"No","(50,100]",55.19553768,NA,NA,NA,NA,NA,NA,"ORANGE",8779579,NA,NA,NA,"No","SAP_NC_(50,100]",NA,NA,"Piedmont","IX","EHIGH MAN-MADE",186.84,"Region_4",NA,NA,"No",NA,NA,"EHIGH","SAP",NA,NA,3,3020201,"Secchi_Samp","MAN-MADE",NA,0.551955377,"Lake Orange",36.15288306,-79.1460479,NA,"0.064924794","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lake Orange","Yes","IX","Southeastern Temperate Forested Plains and Hills","Yes",NA,NA,"Panel_1",9.784513626,"Yes","Yes",NA,NA,3020201004444,"A","N","E. Highlands: Large, warm, and deep reservoirs",NA,"SO-SO","No",NA,"YES","PROB_Lake","03:>50-100 ha",3.715201096,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"NC","North Carolina",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"NO",45,NA,NA,NA,11.56487147,"NC",15.25416276,1494819.072,-18027.34073
"NLA06608-0219",NA,NA,"No","(20,50]",47.00750836,NA,NA,NA,NA,NA,NA,"NOBLE",12265302,NA,NA,NA,"No","UMW_IN_(20,50]",NA,NA,"Southern Michigan/Northern Indiana Drift Plains","VII","PLNLOW NATURAL",284.71,"Region_5",NA,NA,"No",NA,NA,"PLNLOW","UMW",NA,NA,4,4050001,"Secchi_Samp","NATURAL",NA,0.470075084,"Skinner Lake",41.40043649,-85.37102925,NA,"0.028613421","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Skinner Lake","Yes","VII","Mostly Glaciated Dairy Region","Yes",NA,NA,"Panel_1",3.535507751,"Yes","Yes",NA,NA,4050001005426,"C","N","Plains and Lowlands: Low-elevation deep lakes and reservoirs-northern central Plains",NA,"SO-SO","No",NA,"YES","PROB_Lake","02:>10-50 ha",1.454665858,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"IN","Indiana",NA,NA,NA,"Target_Sampled","Sampleable","Sampleable",NA,"Target_Sampled","NLALake","Target",NA,"NO",56,NA,NA,NA,10.83110054,"IN",34.61219685,880071.7594,486302.4099
"NLA06608-0220",NA,NA,"No","(20,50]",20.18127341,NA,NA,NA,NA,NA,NA,"CHERRY",16031228,NA,NA,NA,"No","SPL_NE_(20,50]",NA,NA,"Nebraska Sand Hills","IVnat","PLNLOW NATURAL",884.56,"Region_7",NA,NA,"No",NA,NA,"PLNLOW","SPL",NA,NA,10,10150004,"Secchi_Samp","NATURAL",NA,0.201812734,"East Twin Lake",42.50465482,-100.5303638,NA,"0.02472871","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"East Twin Lake","Yes","IV","Great Plains Grass and Shrublands","Yes",NA,NA,"Panel_1",1.935945293,"Yes","Yes",NA,NA,10150004001431,"E","N","Plains and Lowlands: Higher-elevation, shallow lakes and reservoirs-northern central Plains",NA,"TRASH","No",NA,"YES","PROB_Lake","02:>10-50 ha",1.215664866,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"NE","Nebraska",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"NO",44,NA,NA,NA,10.23338031,"NE",40.04953639,-369865.5927,569378.1457
"NLA06608-0221",NA,NA,"No","(10,20]",18.43275791,NA,NA,NA,NA,NA,NA,"JAMES CITY",10062717,NA,NA,NA,"No","CPL_VA_(10,20]",NA,NA,"Southeastern Plains","IX","PLNLOW MAN-MADE",2.67,"Region_3",NA,NA,"No",NA,NA,"PLNLOW","CPL",NA,NA,2,2080206,"Secchi_Samp","MAN-MADE",NA,0.184327579,"Jolly Pond",37.29913592,-76.82122952,NA,"0.009081883","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Jolly Pond","Yes","IX","Southeastern Temperate Forested Plains and Hills","Yes",NA,NA,"Panel_1",3.745394504,"Yes","Yes",NA,NA,2080206002178,"D","Y","Plains and Lowlands: Low-elevation shallow warm lakes and reservoirs-southern and Coastal Plain(s)",NA,"SO-SO","No",NA,"YES","PROB_Lake","02:>10-50 ha",2.460919895,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"VA","Virginia",NA,NA,NA,"Target_Sampled","Sampleable","Sampleable",NA,"Target_Sampled","NLALake","Target",NA,"YES",65,NA,NA,NA,55.92912679,"VA",109.0493485,1672638.583,146843.7211
"NLA06608-0222",NA,NA,NA,"(20,50]",20.30657879,NA,NA,NA,NA,NA,NA,"WILLIAMS",21532134,NA,NA,NA,NA,"NPL_ND_(20,50]",NA,NA,"Northwestern Glaciated Plains","V","PLNLOW MAN-MADE",696.09,"Region_8",NA,NA,NA,NA,NA,"PLNLOW","NPL",NA,NA,10,10110101,"Secchi_Samp","MAN-MADE",NA,0.203065788,"Tioga Dam",48.40689317,-102.9398075,NA,"0.016521101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Tioga Dam",NA,"V","South Central Cultivated Great Plains",NA,NA,NA,"Panel_1",3.417645851,NA,NA,NA,NA,10110101006701,"E","N","Plains and Lowlands: Higher-elevation, shallow lakes and reservoirs-northern central Plains",NA,"SO-SO",NA,NA,"YES","PROB_Lake","02:>10-50 ha",2.139457902,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ND","North Dakota",NA,NA,NA,"Target_Sampled","Do_Field","Sampleable",NA,"Target_Sampled","NLALake","Target",NA,"NO",42,NA,NA,NA,54.02043965,"ND",59.94596611,-518450.7642,1235149.601
"NLA06608-0223",NA,NA,"No","(20,50]",27.57731889,NA,NA,NA,NA,NA,NA,"HENRY",6332938,NA,NA,NA,"No","SAP_GA_(20,50]",NA,NA,"Piedmont","IX","EHIGH MAN-MADE",221.93,"Region_4",NA,NA,"No",NA,NA,"EHIGH","SAP",NA,NA,3,3070103,"Secchi_Samp","MAN-MADE",NA,0.275773189,"Swan Lake",33.58413004,-84.20752986,NA,"0.011386467","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Swan Lake","Yes","IX","Southeastern Temperate Forested Plains and Hills","Yes",NA,NA,"Panel_1",4.233271524,"Yes","Yes",NA,NA,3070103004453,"A","N","E. Highlands: Large, warm, and deep reservoirs","YES","SO-SO","No",NA,"YES","PROB_Lake","02:>10-50 ha",2.274024674,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"GA","Georgia",NA,NA,NA,"Target_Sampled","Do_Field","Sampleable",NA,"Target_Sampled","NLALake","Target",NA,"YES",45,NA,NA,NA,46.41342885,"GA",86.97810692,1084275.123,-370914.8839
"NLA06608-0224",NA,NA,"Missing","(50,100]",70.64734976,NA,NA,NA,NA,NA,NA,"ST FRANCOIS",729879,NA,NA,NA,"Missing","SAP_MO_(50,100]",NA,NA,"Ozark Highlands","XI","EHIGH MAN-MADE",323.96,"Region_7",NA,NA,"Missing",NA,NA,"EHIGH","SAP",NA,NA,8,8020202,"Secchi_Samp","MAN-MADE",NA,0.706473498,"Lake Hanna",37.64783657,-90.58984208,NA,"0.056501007","Missing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Missing","XI","The Central and Eastern Forested Uplands","Yes",NA,NA,"Panel_1",6.050114099,"Yes","Yes",NA,NA,8020202001967,"A","N","E. Highlands: Large, warm, and deep reservoirs","YES","SO-SO","Missing",NA,"YES","PROB_Lake","03:>50-100 ha",2.03053601,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"MO","Missouri",NA,NA,NA,"Target_Sampled","Do_Field",NA,NA,"Target_Sampled","NLALake","Target",NA,"NO",39,NA,NA,NA,4.663381747,"MO",17.52841975,472574.2628,30023.64726
"NLA06608-0225",NA,NA,"No",">100",205.6045623,NA,NA,NA,NA,NA,NA,"LEWIS AND CLARK",12398110,NA,NA,NA,"No","NPL_MT_>100",NA,NA,"Northwestern Glaciated Plains","V","PLNLOW MAN-MADE",1355,"Region_8",NA,NA,"No",NA,NA,"PLNLOW","NPL",NA,NA,10,10030104,"Secchi_Samp","MAN-MADE",NA,2.056045623,"Nilan Reservoir",47.48039976,-112.5389845,NA,"0.096819734","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Nilan Reservoir","Yes","V","South Central Cultivated Great Plains","Yes",NA,NA,"Panel_1",9.382508364,"Yes","Yes",NA,NA,10030104003178,"E","Y","Plains and Lowlands: Higher-elevation, shallow lakes and reservoirs-northern central Plains","YES","SO-SO","No",NA,"YES","PROB_Lake","04:>100-500 ha",1.845855307,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"MT","Montana",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"NO",42,NA,NA,NA,2.212647044,"MT",10.2290445,-1248134.677,1222906.625
"NLA06608-0226",NA,NA,"No","(4,10]",5.05517327,NA,NA,NA,NA,NA,NA,"ROCKINGHAM",6739340,NA,NA,NA,"No","(4,10]",NA,NA,"Northeastern Coastal Zone","CPL","EHIGH MAN-MADE",189.39,"Region_1",NA,NA,"No",NA,NA,"EHIGH","NAP",NA,NA,1,1070002,"Secchi_Samp","MAN-MADE",NA,0.050551733,"Voydatch Pond",43.19952563,-71.24740864,NA,"0.001312891","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","XIV","Eastern Coastal Plain","Yes",NA,NA,"Panel_1",1.014551771,"Yes","Yes",NA,NA,1070006002404,"B","Y","E. Highlands: Cold northern lakes and reservoirs",NA,"SO-SO","No",NA,"YES","PROB_Lake","01: <10 ha",1.272920435,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"NH","New Hampshire",NA,NA,NA,"Target_Sampled","Do_Field","Sampleable",NA,"Target_Sampled","NLALake","Target",NA,"NO",59,NA,NA,NA,563.1166746,"NH",754.345388,1978828.514,897374.0343
"NLA06608-0228",NA,NA,"No",">100",217.2780867,NA,NA,NA,NA,NA,NA,"OTERO",914071,NA,NA,NA,"No","NESLake",NA,NA,"Southwestern Tablelands","IVman","PLNLOW MAN-MADE",1268.59,"Region_8",NA,NA,"No",NA,NA,"PLNLOW","SPL",NA,NA,11,11020008,"Secchi_Samp","MAN-MADE",NA,2.172780867,"Holbrook Reservoir",38.06219707,-103.6093941,NA,"0.12642225","Yes",NA,NA,NA,NA,NA,NA,"NESLake","809",NA,"Holbrook Reservoir","Yes","IV","Great Plains Grass and Shrublands","Yes",NA,NA,"Panel_1",6.977874411,"Yes","Yes",NA,NA,11020008000415,"E","N","Plains and Lowlands: Higher-elevation, shallow lakes and reservoirs-northern central Plains","YES","SO-SO","No",NA,"YES","PROB_Lake","04:>100-500 ha",1.335396558,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"CO","Colorado",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"NO",26,NA,NA,NA,3.376300757,"CO",7.833853361,-660610.4464,89471.72005
"NLA06608-0229",NA,NA,"No",">100",1683.029871,NA,NA,NA,NA,NA,NA,"HAMILTON",15468219,NA,NA,NA,"No","NESLake",NA,NA,"Northeastern Highlands","VIII","EHIGH NATURAL",495.93,"Region_2",NA,NA,"No",NA,NA,"EHIGH","NAP",NA,NA,4,4150305,"Secchi_Samp","NATURAL",NA,16.8302987,"Long Lake",43.95295544,-74.449008,NA,"0.12642225","Yes",NA,NA,NA,NA,NA,NA,"NESLake","3619",NA,"Park Lake","Yes","VIII","Nutrient Poor Largely Glaciated Upper Midwest and Northeast","Yes",NA,NA,"Panel_1",78.155383,"Yes","Yes",NA,NA,4150305001505,"B","N","E. Highlands: Cold northern lakes and reservoirs",NA,"REF","No",NA,"YES","PROB_Lake","04:>100-500 ha",5.374128564,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"NY","New York",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"NO",58,NA,NA,NA,8.418311244,"NY",7.833853361,1708712.42,916866.6343
"NLA06608-0234",NA,NA,"No","(20,50]",20.59024428,NA,NA,NA,NA,NA,NA,"KENT",9002369,NA,NA,NA,"No","UMW_MI_(20,50]",NA,NA,"Southern Michigan/Northern Indiana Drift Plains","VII","PLNLOW NATURAL",224.37,"Region_5",NA,NA,"No",NA,NA,"PLNLOW","UMW",NA,NA,4,4050006,"Secchi_Samp","NATURAL",NA,0.205902443,"Pine Lake",43.21855689,-85.46799659,NA,"0.005801054","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pine Lake","Yes","VII","Mostly Glaciated Dairy Region","Yes",NA,NA,"Panel_1",1.989711299,"Yes","Yes",NA,NA,4050006002025,"C","N","Plains and Lowlands: Low-elevation deep lakes and reservoirs-northern central Plains",NA,"SO-SO","No",NA,"YES","PROB_Lake","02:>10-50 ha",1.236956379,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"MI","Michigan",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"NO",56,NA,NA,NA,81.58117426,"MI_LP",170.7230091,849592.3652,687453.1368
"NLA06608-0235",NA,NA,"No",">100",323.1371464,NA,NA,NA,NA,NA,NA,"KOSCIUSKO",18485954,NA,NA,NA,"No","NESLake",NA,NA,"Southern Michigan/Northern Indiana Drift Plains","VII","PLNLOW NATURAL",250.67,"Region_5",NA,NA,"No",NA,NA,"PLNLOW","UMW",NA,NA,5,5120106,"Secchi_Samp","NATURAL",NA,3.231371464,"Tippecanoe Lake",41.3229061,-85.75477789,NA,"0.12642225","Yes",NA,NA,NA,NA,NA,NA,"NESLake","1817",NA,"James Lake","Yes","VII","Mostly Glaciated Dairy Region","Yes",NA,NA,"Panel_1",13.88576227,"Yes","Yes",NA,NA,5120106001896,"C","N","Plains and Lowlands: Low-elevation deep lakes and reservoirs-northern central Plains",NA,"SO-SO","No",NA,"YES","PROB_Lake","04:>100-500 ha",2.17907085,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"IN","Indiana",NA,NA,NA,"Target_Sampled","Sampleable","Sampleable",NA,"Target_Sampled","NLALake","Target",NA,"YES",56,NA,NA,NA,2.451426407,"IN",7.833853361,849356.9384,474184.3106
"NLA06608-0237",NA,NA,"No","(50,100]",72.28415911,NA,NA,NA,NA,NA,NA,"NYE",20637202,NA,NA,NA,"No","XER_NV_(50,100]",NA,NA,"Central Basin and Range","III","WMTNS MAN-MADE",1574.3,"Region_9",NA,NA,"No",NA,NA,"WMTNS","XER",NA,NA,15,15010011,"Secchi_Samp","MAN-MADE",NA,0.722841591,"Dacey Reservoir Lower",38.38849036,-115.1177953,NA,"0.164389863","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dacey Reservoir","Yes","III","Xeric West","Yes",NA,NA,"Panel_1",5.820390023,"Yes","Yes",NA,NA,15010011002581,"G","N","Western Mountains: Moderate-elevation, large southern lakes and reservoirs","YES","SO-SO","No",NA,"YES","PROB_Lake","03:>50-100 ha",1.931192602,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"NV","Nevada",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"NO",13,NA,NA,NA,0.941492486,"NV",6.024540414,-1642996.812,265402.6008
"NLA06608-0238",NA,NA,"No",">100",3375.871224,NA,NA,NA,NA,NA,NA,"CROW WING",4620890,NA,NA,NA,"No","UMW_MN_>100",NA,NA,"Northern Lakes and Forests","VIII","PLNLOW NATURAL",367.79,"Region_5",NA,NA,"No",NA,NA,"PLNLOW","UMW",NA,NA,7,7010105,"Secchi_Samp","NATURAL",NA,33.75871224,"Pelican Lake",46.57881675,-94.17531685,NA,"0.006162343","Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pelican Lake","Yes","VIII","Nutrient Poor Largely Glaciated Upper Midwest and Northeast","Yes",NA,NA,"Panel_1",38.39378101,"Yes","Yes",NA,NA,7010105002003,"C","N","Plains and Lowlands: Low-elevation deep lakes and reservoirs-northern central Plains",NA,"SO-SO","No",NA,"YES","PROB_Lake","05:>500-5000 ha",1.864073428,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"MN","Minnesota",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"NO",50,NA,NA,NA,116.1182748,"MN",160.7137579,140306.2933,1015612.373
"NLA06608-0239",NA,NA,"No",">100",3177.007136,NA,NA,NA,NA,NA,NA,"MARION",22197889,NA,NA,NA,"No","NESLake",NA,NA,"Southwestern Appalachians","XI","EHIGH MAN-MADE",193.18,"Region_4",NA,NA,"No",NA,NA,"EHIGH","SAP",NA,NA,6,6020004,"Secchi_Samp","MAN-MADE",NA,31.77007136,"Nickajack Lake",35.01895093,-85.55980719,NA,"0.12642225","Yes",NA,NA,NA,NA,NA,NA,"NESLake","4717",NA,"Nickajack Reservoir","Yes","XI","The Central and Eastern Forested Uplands","Yes",NA,NA,"Panel_1",146.3818694,"Yes","Yes",NA,NA,6020001002536,"A","N","E. Highlands: Large, warm, and deep reservoirs",NA,"SO-SO","No",NA,"YES","PROB_Lake","05:>500-5000 ha",7.32610708,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,"TN","Tennessee",NA,NA,NA,"Target_Sampled","Sampleable",NA,NA,"Target_Sampled","NLALake","Target",NA,"YES",68,NA,NA,NA,8.555298752,"TN",7.833853361,942884.4908,-226021.0788
