"","algal_group12","algal_group07","phylum12","phylum07","class12","order12","order07","family12","family07","genus","sp12","sp07"
"108","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Naviculaceae","Cymbellaceae","Encyonema","Encyonema; Encyonema minutum; Encyonema silesiacum","Encyonema; Encyonema minutum"
"109","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Naviculaceae","Not Designated","Encyonopsis","Encyonopsis; Encyonopsis microcephala","Encyonopsis"
"110","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Naviculaceae","Entomoneidaceae","Entomoneis","Entomoneis; Entomoneis ornata","Entomoneis"
"111","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Naviculaceae","Naviculaceae","Geissleria","Geissleria; Geissleria decussis","Geissleria"
"112","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Naviculaceae","Naviculaceae","Hippodonta","Hippodonta","Hippodonta"
"113","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Naviculaceae","Naviculaceae","Navicula","Navicula; Navicula cryptotenella; Navicula gregaria; Navicula phyllepta; Navicula radiosa; Navicula trivialis","Navicula"
"114","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Neidiaceae","Neidiaceae","Neidium","Neidium","Neidium"
"115","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Pennales",NA,"Peroniaceae",NA,"Peronia","Peronia fibula",NA
"116","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Pinnulariaceae","Pinnulariaceae","Caloneis","Caloneis; Caloneis limosa","Caloneis"
"117","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Pinnulariaceae","Pinnulariaceae","Pinnularia","Pinnularia; Pinnularia borealis","Pinnularia"
"118","Diatom",NA,"Chrysophyta",NA,"Bacillariophyceae","Pennales",NA,"Plagiotropidaceae",NA,"Plagiotropis","Plagiotropis",NA
"119","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Pleurosigmataceae","Pleurosigmataceae","Gyrosigma","Gyrosigma","Gyrosigma"
"120","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Pleurosigmataceae","Pleurosigmataceae","Pleurosigma","Pleurosigma","Pleurosigma"
"121","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Rhoicospheniaceae","Rhoicospheniaceae","Rhoicosphenia","Rhoicosphenia; Rhoicosphenia abbreviata; Rhoicosphenia curvata","Rhoicosphenia"
"122","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Rhopalodiaceae","Rhopalodiaceae","Epithemia","Epithemia; Epithemia adnata; Epithemia sorex; Epithemia turgida","Epithemia; Epithemia adnata; Epithemia sorex"
"123","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Rhopalodiaceae","Rhopalodiaceae","Rhopalodia","Rhopalodia; Rhopalodia gibba","Rhopalodia; Rhopalodia gibba"
"124","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Sellaphoraceae","Sellaphoraceae","Sellaphora","Sellaphora; Sellaphora laevissima; Sellaphora pupula","Sellaphora"
"125","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Stauroneidaceae","Stauroneidaceae","Craticula","Craticula; Craticula ambigua","Craticula"
"126","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Stauroneidaceae","Stauroneidaceae","Stauroneis","Stauroneis; Stauroneis phoenicenteron","Stauroneis"
"127","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Surirellaceae","Surirellaceae","Campylodiscus","Campylodiscus; Campylodiscus clypeus","Campylodiscus"
"128","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Surirellaceae","Surirellaceae","Cymatopleura","Cymatopleura; Cymatopleura elliptica; Cymatopleura solea","Cymatopleura"
"129","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Surirellales","Surirellaceae","Surirellaceae","Stenopterobia","Stenopterobia","Stenopterobia curvula"
"130","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Surirellaceae","Surirellaceae","Surirella","Surirella; Surirella ovalis; Surirella ovata","Surirella"
"131","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Bacillariophyceae","Pennales","Pennales","Tabellariaceae","Tabellariaceae","Tabellaria","Tabellaria; Tabellaria fenestrata; Tabellaria flocculosa; Tabellaria ventricosa","Tabellaria; Tabellaria fenestrata"
"132","Diatom","Diatoms","Chrysophyta","Chrysophyta (Bacillariophyceae)","Fragilariophyceae","Pennales","Pennales","Fragilariaceae","Fragilariaceae","Asterionella","Asterionella; Asterionella formosa; Asterionella ralfsii","Asterionella; Asterionella formosa"
"133","Dinoflagellates",NA,"Myzozoa",NA,"Dinophyceae","Gonyaulacales",NA,"Calciodinellaceae",NA,"Ensiculifera","Ensiculifera",NA
"134","Dinoflagellates","Dinoflagellate","Myzozoa","Pyrrhophyta","Dinophyceae","Gonyaulacales","Peridiniales","Ceratiaceae","Oxytoxaceae","Ceratium","Ceratium; Ceratium carolinianum; Ceratium cornutum; Ceratium furcoides; Ceratium hirundinella","Ceratium; Ceratium hirundinella"
"135","Dinoflagellates","Dinoflagellate","Myzozoa","Pyrrhophyta","Dinophyceae","Gymnodiniales","Gymnodiniales","Gymnodiniaceae","Gymondiniaceae","Gymnodinium","Gymnodinium; Gymnodinium discoidale; Gymnodinium palustre; Gymnodinium uberrimum","Gymnodinium"
"136","Dinoflagellates",NA,"Myzozoa",NA,"Dinophyceae","Gymnodiniales",NA,"Kareniaceae",NA,"Karlodinium","Karlodinium",NA
"137","Dinoflagellates",NA,"Myzozoa",NA,"Dinophyceae","Gymnodiniales",NA,"Kareniaceae",NA,"Katodinium","Katodinium",NA
"138","Dinoflagellates",NA,"Myzozoa",NA,"Dinophyceae","Oxyrrhinales",NA,"Osyrrhinaceae",NA,"Oxyrrhis","Oxyrrhis",NA
"139","Dinoflagellates","Dinoflagellate","Myzozoa","Pyrrhophyta","Dinophyceae","Peridiniales","Peridiniales","Glenodiniaceae","Glenodiniaceae","Glenodinium","Glenodinium; Glenodinium quadridens","Glenodinium"
"140","Dinoflagellates",NA,"Myzozoa",NA,"Dinophyceae","Peridiniales",NA,"Glenodiniaceae",NA,"Heterocapsa","Heterocapsa",NA
"141","Dinoflagellates","Dinoflagellate","Myzozoa","Pyrrhophyta","Dinophyceae","Peridiniales","Peridiniales","Peridiniaceae","Peridiniaceae","Peridinium","Peridinium; Peridinium aciculiferum; Peridinium bipes; Peridinium inconspicuum; Peridinium limbatum; Peridinium umbonatum; Peridinium willei; Peridinium wisconsinense","Peridinium"
"142","Dinoflagellates",NA,"Myzozoa",NA,"Dinophyceae","Peridiniales",NA,"Peridiniaceae",NA,"Scrippsiella","Scrippsiella trochoidea",NA
"143","Dinoflagellates",NA,"Myzozoa",NA,"Dinophyceae","Peridiniales",NA,"Protoperidiniaceae",NA,"Protoperidinium","Protoperidinium",NA
"144","Dinoflagellates",NA,"Myzozoa",NA,"Dinophyceae","Phytodiniales",NA,"Phytodiniaceae",NA,"Cystodinium","Cystodinium",NA
"145","Euglenoids","Euglenoid","Euglenophycota","Euglenophyta","Euglenophyceae","Euglenales","Euglenales","Euglenaceae","Euglenaceae","Euglena","Euglena; Euglena acus; Euglena convoluta; Euglena proxima","Euglena; Euglena gracilis; Euglena minima; Euglena sanguinea"
"146","Euglenoids","Euglenoid","Euglenophycota","Euglenophyta","Euglenophyceae","Euglenales","Euglenales","Euglenaceae","Euglenaceae","Lepocinclis","Lepocinclis; Lepocinclis acus; Lepocinclis ovum; Lepocinclis spirogyroides; Lepocinclis steinii","Lepocinclis; Lepocinclis ovum"
"147","Euglenoids","Euglenoid","Euglenophycota","Euglenophyta","Euglenophyceae","Euglenales","Euglenales","Euglenaceae","Euglenaceae","Monomorphina","Monomorphina","Monomorphina"
"148","Euglenoids","Euglenoid","Euglenophycota","Euglenophyta","Euglenophyceae","Euglenales","Euglenales","Euglenaceae","Euglenaceae","Phacus","Phacus; Phacus caudatus; Phacus chloroplastes; Phacus curvicauda; Phacus horridus; Phacus longicauda; Phacus nordstedtii; Phacus orbicularis; Phacus pseudoswirenkoi; Phacus suecicus; Phacus swirenkoi; Phacus tortus","Phacus; Phacus helicoides; Phacus longicauda"
"149","Euglenoids","Euglenoid","Euglenophycota","Euglenophyta","Euglenophyceae","Euglenales","Euglenales","Euglenaceae","Euglenaceae","Strombomonas","Strombomonas; Strombomonas acuminata; Strombomonas conspersa; Strombomonas ovalis; Strombomonas rotunda","Strombomonas"
"150","Euglenoids","Euglenoid","Euglenophycota","Euglenophyta","Euglenophyceae","Euglenales","Euglenales","Euglenaceae","Euglenaceae","Trachelomonas","Trachelomonas; Trachelomonas abrupta; Trachelomonas acanthostoma; Trachelomonas armata; Trachelomonas caudata; Trachelomonas cylindrica; Trachelomonas dubia; Trachelomonas ellipsoidalis; Trachelomonas hexangulata; Trachelomonas hispida; Trachelomonas lacustris; Trachelomonas oblonga; Trachelomonas rotunda; Trachelomonas rugulosa; Trachelomonas scabra; Trachelomonas similis; Trachelomonas spectabilis; Trachelomonas subverrucosa; Trachelomonas superba; Trachelomonas variabilis; Trachelomonas volvocina","Trachelomonas; Trachelomonas anmata"
"151","Euglenoids",NA,"Euglenophycota",NA,"Euglenophyceae","Eutreptiales",NA,"Eutreptiaceae",NA,"Eutreptia","Eutreptia",NA
"152","Eustigmatophytes","Yello-Green Algae","Ochrophyta","Isthmochoron","Eustigmatophyceae","Eustigmatales","Tribophyceae","Eustigmataceae","Mischococcales","Pseudostaurastrum","Pseudostaurastrum; Pseudostaurastrum hastatum; Pseudostaurastrum limneticum; Pseudostaurastrum lobulatum","Pseudostaurastrum; Pseudostaurastrum limnetica"
"153","Golden algae","Yello-Green Algae","Heterokontophyta","Chrysophyta","Chrysophyceae","Chromalinales","Chromulinales","Chromulinaceae","Chromulinaceae","Chromulina","Chromulina","Chromulina"
"154","Golden algae","Yello-Green Algae","Heterokontophyta","Chrysophyta","Chrysophyceae","Chromalinales","Chromulinales","Dinobryaceae","Chromulinaceae","Pseudokephyrion","Pseudokephyrion; Pseudokephyrion pseudospirale","Pseudokephyrion"
"155","Golden algae","Yello-Green Algae","Heterokontophyta","Chrysophyta","Chrysophyceae","Chromulinales","Chromulinales","Chromulinaceae","Chromulinaceae","Kephyrion","Kephyrion; Kephyrion rubi-claustri","Kephyrion"
"156","Golden algae",NA,"Heterokontophyta",NA,"Chrysophyceae","Chromulinales",NA,"Chrysocapsaceae",NA,"Chrysocapsella","Chrysocapsella planctonica",NA
"157","Golden algae","Yello-Green Algae","Heterokontophyta","Chrysophyta","Chrysophyceae","Chrysococcales","Chrysococcales","Chrysococcaceae","Chrysococcaceae","Chrysococcus","Chrysococcus","Chrysococcus"
"158","Golden algae","Yello-Green Algae","Heterokontophyta","Chrysophyta","Chrysophyceae","Chrysomonadales","Chrysomonadales","Dinobryaceae","Dinobryaceae","Dinobryon","Dinobryon; Dinobryon bavaricum; Dinobryon crenulatum; Dinobryon cylindricum; Dinobryon divergens; Dinobryon sertularia; Dinobryon sociale","Dinobryon; Dinobryon bavaricum; Dinobryon eurystoma; Dinobryon sertularia"
"159","Golden algae","Yello-Green Algae","Heterokontophyta","Chrysophyta","Chrysophyceae","Chrysomonadales","Chrysomonadales","Synuraceae","Synuraceae","Mallomonas","Mallomonas; Mallomonas akrokomas; Mallomonas producta","Mallomonas"
"160","Golden algae","Yello-Green Algae","Heterokontophyta","Chrysophyta","Chrysophyceae","Chrysomonadales","Chrysomonadales","Synuraceae","Synuraceae","Synura","Synura; Synura uvella","Synura"
"161","Golden algae",NA,"Heterokontophyta",NA,"Chrysophyceae","Dictyochales",NA,"Dictyochaceae",NA,"Dictyocha","Dictyocha",NA
"162","Golden algae","Yello-Green Algae","Heterokontophyta","Chrysophyta","Chrysophyceae","Ochromonadales","Ochromonadales","Ochromonadaceae","Ochromonadaceae","Ochromonas","Ochromonas; Ochromonas pyriformis","Ochromonas"
"163","Golden algae","Yello-Green Algae","Heterokontophyta","Chrysophyta","Chrysophyceae","Ochromonadales","Chrysomonadales","Ochromonadaceae","Ochromonadaceae","Uroglena","Uroglena","Uroglena"
"164","Golden algae",NA,"Heterokontophyta",NA,"Chrysophyceae","Pedinellales",NA,"Pedinellaceae",NA,"Pseudopedinella","Pseudopedinella pyriformis",NA
"165","Golden algae","Yello-Green Algae","Heterokontophyta","Chrysophyta","Chrysophyceae","Stylococcales","Chrysomonadales","Stylococcaceae","Undetermined","Bitrichia","Bitrichia","Bitrichia"
"166","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Chattonetales",NA,"Vacuolariaceae",NA,"Gonyostomum","Gonyostomum; Gonyostomum depressum; Gonyostomum semen",NA
"167","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Chlorellales",NA,"Chlorellacae",NA,"Coronastrum","Coronastrum ellipsoideum",NA
"168","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Chlorellales",NA,"Chlorellacae",NA,"Diacanthos","Diacanthos belanophorus",NA
"169","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Chlorellales",NA,"Chlorellacae",NA,"Didymogenes","Didymogenes",NA
"170","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Chlorellales",NA,"Chlorellacae",NA,"Golenkiniopsis","Golenkiniopsis; Golenkiniopsis chlorelloides",NA
"171","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Chlorellales",NA,"Chlorellaceae",NA,"Podohedra","Podohedra falcata",NA
"172","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Chlorellales",NA,"Koliellaceae",NA,"Koliella","Koliella longiseta",NA
"173","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Chlorococcales",NA,"Characiaceae",NA,"Ankyra","Ankyra; Ankyra judai",NA
"174","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Chlorococcaceae","Chlorococcaceae","Chlorococcum","Chlorococcum","Chlorococcum; Chlorococcum humicola"
"175","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Chlorococcales",NA,"Chlorococcaceae",NA,"Tetraedron","Tetraedron; Tetraedron arthrodesmiforme; Tetraedron bifurcatum; Tetraedron caudatum; Tetraedron constrictum; Tetraedron duospinum; Tetraedron gracile; Tetraedron hastatum; Tetraedron heteracanthum; Tetraedron limneticum; Tetraedron minimum; Tetraedron minutum; Tetraedron muticum; Tetraedron pentaedricum; Tetraedron plactonicum; Tetraedron pusillum; Tetraedron regulare; Tetraedron trigonum; Tetraedron victoriae",NA
"176","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Coccomyxaceae","Oocystaceae","Nannochloris","Nannochloris","Nannochloris"
"177","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Dictyosphaeriaceae","Oocystaceae","Botryococcus","Botryococcus; Botryococcus braunii; Botryococcus protuberans","Botryococcus"
"178","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Dictyosphaeriaceae","Oocystaceae","Dictyosphaerium","Dictyosphaerium; Dictyosphaerium chlorelloides; Dictyosphaerium ehrenbergianum; Dictyosphaerium pulchellum; Dictyosphaerium tetrachotomum","Dictyosphaerium; Dictyosphaerium ehrenbergianum; Dictyosphaerium ehrenbergii; Dictyosphaerium pulchellum"
"179","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Chlorococcales",NA,"Hormotilaceae",NA,"Palmodictyon","Palmodictyon viride",NA
"180","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Chlorococcales",NA,"Hydrodictyaceae",NA,"Parapediastrum","Parapediastrum biradiatum",NA
"181","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Hydrodictyaceae","Hydrodictyaceae","Pediastrum","Pediastrum; Pediastrum angulosum; Pediastrum boryanum; Pediastrum duplex; Pediastrum kawraiskyi; Pediastrum simplex; Pediastrum tetras","Pediastrum; Pediastrum Boryanum; Pediastrum duplex; Pediastrum duplex clathratum; Pediastrum duplex gracillimum ; Pediastrum duplex rotundatum; Pediastrum kawraiskyi; Pediastrum obtusum; Pediastrum simplex duodenarium; Pediastrum tetras"
"182","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Chlorococcales",NA,"Micractiniaceae",NA,"Golenkina","Golenkina; Golenkina paucispina; Golenkina radiata",NA
"183","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Micractiniaceae","Micractiniaceae","Micractinium","Micractinium; Micractinium pusillum; Micractinium quadrisetum","Micractinium"
"184","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Microsporaceae","Microsporaceae","Microspora","Microspora","Microspora"
"185","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Oocystaceae","Oocystaceae","Ankistrodesmus","Ankistrodesmus; Ankistrodesmus bibraianus; Ankistrodesmus falcatus; Ankistrodesmus spiralis","Ankistrodesmus; Ankistrodesmus falcatus; Ankistrodesmus fractus; Ankistrodesmus nannoselene; Ankistrodesmus spiralis"
"186","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Tetrasporales","Oocystaceae","Coccomyxaceae","Eremosphaera","Eremosphaera viridis","Eremosphaera"
"187","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Chlorococcales",NA,"Oocystaceae",NA,"Keratococcus","Keratococcus bicaudatus",NA
"188","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Oocystaceae","Oocystaceae","Kirchneriella","Kirchneriella; Kirchneriella contorta; Kirchneriella lunaris; Kirchneriella obesa","Kirchneriella; Kirchneriella contorta; Kirchneriella lunaris; Kirchneriella obesa"
"189","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Oocystaceae","Oocystaceae","Lagerheimia","Lagerheimia; Lagerheimia chodatii; Lagerheimia citriformis; Lagerheimia genevensis; Lagerheimia longiseta; Lagerheimia quadriseta; Lagerheimia subsalsa; Lagerheimia wratislaviensis","Lagerheimia; Lagerheimia genevensis; Lagerheimia subsalsa"
"190","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Oocystaceae","Oocystaceae","Monoraphidium","Monoraphidium; Monoraphidium arcuatum; Monoraphidium circinale; Monoraphidium contortum; Monoraphidium convolutum; Monoraphidium griffithii; Monoraphidium irregulare; Monoraphidium komarkovae; Monoraphidium minimum; Monoraphidium minutum; Monoraphidium nanum; Monoraphidium pusillum; Monoraphidium tortile","Monoraphidium"
"191","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Oocystaceae","Oocystaceae","Nephrocytium","Nephrocytium; Nephrocytium agardhianum; Nephrocytium limneticum; Nephrocytium lunatum","Nephrocytium; Nephrocytium limneticum"
"192","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Oocystaceae","Oocystaceae","Oocystis","Oocystis; Oocystis borgei; Oocystis crassa; Oocystis lacustris; Oocystis marssonii; Oocystis parva; Oocystis pusilla; Oocystis solitaria","Oocystis; Oocystis elliptica; Oocystis eremosphaeria; Oocystis gigas; Oocystis gloeocystiformis; Oocystis parva; Oocystis pusilla; Oocystis pyriformis; Oocystis solitaria"
"193","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Oocystaceae","Oocystaceae","Planktosphaeria","Planktosphaeria; Planktosphaeria gelatinosa","Planktosphaeria"
"194","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Oocystaceae","Oocystaceae","Quadrigula","Quadrigula; Quadrigula chodatii; Quadrigula closteroides; Quadrigula lacustris; Quadrigula pfitzeri","Quadrigula; Quadrigula chodati; Quadrigula lacustris"
"195","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Oocystaceae","Oocystaceae","Schroederia","Schroederia; Schroederia robusta; Schroederia setigera","Schroederia"
"196","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Oocystaceae","Oocystaceae","Selenastrum","Selenastrum; Selenastrum gracile; Selenastrum minutum","Selenastrum"
"197","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Oocystaceae","Oocystaceae","Westella","Westella; Westella botryoides; Westella linearis","Westella"
"198","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Scenedesmaceae","Scenedesmaceae","Actinastrum","Actinastrum; Actinastrum gracillimum; Actinastrum hantzschii","Actinastrum; Actinastrum hantzschii"
"199","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Scenedesmaceae","Scenedesmaceae","Crucigenia","Crucigenia; Crucigenia apiculata; Crucigenia crucifera; Crucigenia fenestrata; Crucigenia irregularis; Crucigenia quadrata; Crucigenia rectangularis; Crucigenia tetrapedia; Crucigenia truncata","Crucigenia; Crucigenia apiculata; Crucigenia fenestrata; Crucigenia irregularis; Crucigenia quadrata; Crucigenia rectangularis; Crucigenia tetrapedia"
"200","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Chlorococcales",NA,"Scenedesmaceae",NA,"Crucigeniella","Crucigeniella; Crucigeniella apiculata; Crucigeniella crucifera; Crucigeniella irregularis; Crucigeniella rectangularis",NA
"201","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Scenedesmaceae","Scenedesmaceae","Scenedesmus","Scenedesmus; Scenedesmus abundans; Scenedesmus acuminatus; Scenedesmus acutiformis; Scenedesmus arcuatus; Scenedesmus armatus; Scenedesmus balatonicus; Scenedesmus bernardii; Scenedesmus bijuga; Scenedesmus brasiliensis; Scenedesmus communis; Scenedesmus costatus; Scenedesmus dimorphus; Scenedesmus dispar; Scenedesmus ellipticus; Scenedesmus falcatus; Scenedesmus incrassatulus; Scenedesmus obliquus; Scenedesmus opoliensis; Scenedesmus protuberans; Scenedesmus quadricauda; Scenedesmus raciborskii; Scenedesmus subspicatus","Scenedesmus; Scenedesmus acuminatus; Scenedesmus bijuga; Scenedesmus dimorphus; Scenedesmus ecornis; Scenedesmus ovalternus; Scenedesmus quadricuada Westii; Scenedesmus quadricuada maximus; Scenedesmus spinosus"
"202","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Chlorococcales","Chlorococcales","Scenedesmaceae","Scenedesmaceae","Tetrastrum","Tetrastrum; Tetrastrum elegans; Tetrastrum glabrum; Tetrastrum heteracanthum; Tetrastrum komarekii; Tetrastrum minimum; Tetrastrum staurogeniaeforme; Tetrastrum triangulare","Tetrastrum; Tetrastrum glabrum; Tetrastrum staurogeniaforma"
"203","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Cladophorales",NA,"Cladophoraceae",NA,"Cladophora","Cladophora; Cladophora glomerata",NA
"204","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Cladophorales","Cladophorales","Cladophoraceae","Cladophoraceae","Rhizoclonium","Rhizoclonium","Rhizoclonium"
"205","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Cylindrocapsales",NA,"Cylindrocapsaceae",NA,"Cylindrocapsa","Cylindrocapsa geminella",NA
"206","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Desmidiales","Zygnematales","Desmidiaceae","Desmidiaceae","Cosmarium","Cosmarium; Cosmarium biretum; Cosmarium hammeri; Cosmarium porrectum; Cosmarium undulatum","Cosmarium; Cosmarium garrolense"
"207","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Desmidiales","Zygnematales","Desmidiaceae","Desmidiaceae","Euastrum","Euastrum; Euastrum bidentatum; Euastrum denticulatum; Euastrum pseudocorelloides","Euastrum"
"208","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Oedogoniales",NA,"Oedogoniaceae",NA,"Bulbochaete","Bulbochaete",NA
"209","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Oedogoniales","Oedogoniales","Oedogoniaceae","Oedogoniaceae","Oedogonium","Oedogonium","Oedogonium"
"210","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Oocystales","Chlorococcales","Oocystaceae","Oocystaceae","Chlorella","Chlorella; Chlorella ellipsoidea; Chlorella vulgaris","Chlorella"
"211","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Oocystales","Chlorococcales","Oocystaceae","Oocystaceae","Closteriopsis","Closteriopsis; Closteriopsis acicularis; Closteriopsis longissima","Closteriopsis"
"212","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Oocystales","Chlorococcales","Oocystaceae","Oocystaceae","Treubaria","Treubaria; Treubaria setigerum; Treubaria triappendiculata","Treubaria"
"213","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Sphaeropleales","Chlorococcales","Characiaceae","Chlorococcaceae","Characium","Characium; Characium ambiguum; Characium limneticum","Characium"
"214","Green algae","Green Algae","Chlorophyta","Chlorophyta","Chlorophyceae","Sphaeropleales","Chlorococcales","Hydrodictyaceae","Hydrodictyaceae","Sorastrum","Sorastrum; Sorastrum americanum","Sorastrum"
"215","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Sphaeropleales",NA,"Hydrodictyaceae",NA,"Stauridium","Stauridium tetras",NA
"216","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Sphaeropleales",NA,"Neochloridaceae",NA,"Chlorotetraedron","Chlorotetraedron incus",NA
"217","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Sphaeropleales",NA,"Radiococcaceae",NA,"Coenochloris","Coenochloris fottii",NA
"218","Green algae",NA,"Chlorophyta",NA,"Chlorophyceae","Sphaeropleales",NA,"Radiococcaceae",NA,"Coenococcus","Coenococcus",NA
