field,units,description,algaltoxins,atrazine,bentcond,benthic,bentmet,benttaxa,chla,condition,phab,phabmet,phytotaxa,profile,secchi,siteinfo,topsedhg,waterchem,zoopcond,zoopmets,zooptaxa
EPHEPTAX,NA,% Ephemeroptera taxa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPOTNIND,NA,"Number of Ephemeroptera, Plecoptera, Odonata, and Trichoptera individuals in sample",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPOTNTAX,NA,"No. of Ephemeroptera, Plecoptera, Odonata, & Trichoptera taxa",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPOTPIND,NA,"% Ephemeroptera, Plecoptera, Odonata, & Trichoptera individuals",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPOTPTAX,NA,"% Ephemeroptera, Plecoptera, Odonata, & Trichoptera taxa",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPT_NIND,NA,"Number of Ephemeroptera, Plecoptera, and Trichoptera individuals in sample",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPT_NTAX,NA,No. of EPT taxa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPT_PIND,NA,% EPT individuals,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EPT_PTAX,NA,% EPT taxa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
EVAL_NAME,NA,Name of Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
EVALSTAT,NA,"Status assigned based on lake evaluation guidelines: TargetSampleable= Lake can be accessed and sampled; TargetNotSampled= Lake is target, but was temporarily inaccessible to sampling in 2012; TargetOther= Lake is considered target, but cannot be sampled for reasons other than physical inaccessibility or lack of access permission; AccessDenied=No permission to access and sample lake; Inaccessible-Barrier/Safety=Lake cannot be accessed and/or sampled sue to hazardous conditions or physical barriers (including access by boat); Inaccessible-Effort=Lake is too remote to visit.; Nontarget-CoastalSaline=lake is maintained primarily by overland flow from an adjacent estuary or ocean; Nontarget-Ephemeral=Lake determined to be dry during the index period during all but extremely wet years; Nontarget-MapError=no lake present at coordinates (includes lakes that have permanently dried up); Nontarget-NoRecAquatUse=Lake constructed for special purpose (e.g., sewage lagoon, stock pond); Nontarget-NotLake=Lake is either riverine (&lt; 7 d residence time) or fully developed wetland with no open water; Nontarget-Other=Lake is nontarget for other reasons; Nontarget-TooSmall+ Lake evaluated to be &lt; 1 ha in surface area; NonTarget-TooShallow= Lake had maximum depth of &lt; 1 m; NonTarget-Vegetated= Lake has &lt; 1000 m2 of open water, but is not a fully developed wetland with no open water; NotNeeded- Over sample lake that was not needed to meet sample size requirements within a state",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FACLNIND,NA,Number of individuals in sample with tolerance value >3 and <7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FACLNTAX,NA,No. of Facultative (3< PTV <7) taxa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FACLPIND,NA,% Facultative (3< PTV <7) individuals,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FACLPTAX,NA,% Facultative (3< PTV <7) taxa,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM_NAT_NTAX,NA,Number of families represented by distinct native taxa (coarse and fine net samples combined),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FAM_NTAX,NA,Number of families represented by distinct taxa (coarse and fine net samples combined),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FAM300_NAT_NTAX,NA,Number of native families represented in 300 count subsamples (coarse and fine net samples combined),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FAM300_NTAX,NA,Number of families represented in 300 count subsamples (coarse and fine net samples combined),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
FAMILY,NA,Family of taxon,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
FC_AQUATIC,NA,"Fish cover aquatic vegetation (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FC_AQUATIC_DD,NA,percent fish cover by aquatic veg in the drawdown zone,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FC_BOULDERS,NA,"Fish cover boulders (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FC_BOULDERS_DD,NA,percent fish cover by boulders in the drawdown zone,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FC_BRUSH,NA,"Fish cover brush (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FC_BRUSH_DD,NA,percent fish cover by brush in the drawdown zone,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FC_LEDGES,NA,"Fish cover ledges (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FC_LEDGES_DD,NA,percent fish cover by ledges in the drawdown zone,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FC_LIVETREES,NA,"Fish cover live trees (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FC_LIVETREES_DD,NA,percent fish cover by live trees in the drawdown zone,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FC_OVERHANG,NA,"Fish cover overhanging vegetation (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FC_OVERHANG_DD,NA,percent fish cover by overhanging veg in the drawdown zone,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FC_SNAGS,NA,"Fish cover woody debris/snags (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FC_SNAGS_DD,NA,percent fish cover by snags in the drawdown zone,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FC_STRUCTURES,NA,"Fish cover human structures (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FC_STRUCTURES_DD,NA,percent fish cover by human structures in the drawdown zone,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
FCFCAQUATIC,NA,Fish cover: fractional cover of aquatic vegetation,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCAQUATIC_DD,NA,Fish cover: fractional cover of aquatic vegetation in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCAQUATIC_LIT,NA,Fish cover: fractional cover of aquatic vegetation in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCAQUATIC_SIM,NA,Fish cover: fractional cover of aquatic vegetation simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCBOULDERS,NA,Fish cover: fractional cover of boulders,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCBOULDERS_DD,NA,Fish cover: fractional cover of boulders in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCBOULDERS_LIT,NA,Fish cover: fractional cover of boulders in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCBOULDERS_SIM,NA,Fish cover: fractional cover of boulders simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCBRUSH,NA,Fish cover: fractional cover of brush,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCBRUSH_DD,NA,Fish cover: fractional cover of brush in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCBRUSH_LIT,NA,Fish cover: fractional cover of brush in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCBRUSH_SIM,NA,Fish cover: fractional cover of brush simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCLEDGES,NA,Fish cover: fractional cover of ledges,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCLEDGES_DD,NA,Fish cover: fractional cover of ledges in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCLEDGES_LIT,NA,Fish cover: fractional cover of ledges in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCLEDGES_SIM,NA,Fish cover: fractional cover of ledges simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCLIVETREES,NA,Fish cover: fractional cover of live trees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCLIVETREES_DD,NA,Fish cover: fractional cover of live trees in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCLIVETREES_LIT,NA,Fish cover: fractional cover of live trees in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCLIVETREES_SIM,NA,Fish cover: fractional cover of live trees simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCOVERHANG,NA,Fish cover: fractional cover of overhangs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCOVERHANG_DD,NA,Fish cover: fractional cover of overhangs in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCOVERHANG_LIT,NA,Fish cover: fractional cover of overhangs in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCOVERHANG_SIM,NA,Fish cover: fractional cover of overhangs simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCSNAG,NA,Fish cover: fractional cover of snags,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCSNAGS_DD,NA,Fish cover: fractional cover of snags in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCSNAGS_LIT,NA,Fish cover: fractional cover of snags in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCSNAGS_SIM,NA,Fish cover: fractional cover of snags simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCSTRUCTURES,NA,Fish cover: fractional cover of artificial structures,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCSTRUCTURES_DD,NA,Fish cover: fractional cover of artificial structures in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCSTRUCTURES_LIT,NA,Fish cover: fractional cover of artificial structures in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFCSTRUCTURES_SIM,NA,Fish cover: fractional cover of artificial structures simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPALL,NA,Fish cover: fractional presence of any fish cover,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPALL_DD,NA,Fish cover: fractional cover of any fish cover in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPALL_LIT,NA,Fish cover: fractional cover of any fish cover in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPALL_SIM,NA,Fish cover: fractional cover of any fish cover simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPAQUATIC,NA,Fish cover: fractional presence of aquatic vegetation,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPAQUATIC_DD,NA,Fish cover: fractional presence of aquatic vegetation in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPAQUATIC_LIT,NA,Fish cover: fractional presence of aquatic vegetation in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPAQUATIC_SIM,NA,Fish cover: fractional presence of aquatic vegetation simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPBOULDERS,NA,Fish cover: fractional presence of boulders,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPBOULDERS_DD,NA,Fish cover: fractional presence of boulders in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPBOULDERS_LIT,NA,Fish cover: fractional presence of boulders in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPBOULDERS_SIM,NA,Fish cover: fractional presence of boulders simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPBRUSH,NA,Fish cover: fractional presence of brush,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPBRUSH_DD,NA,Fish cover: fractional presence of brush in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPBRUSH_LIT,NA,Fish cover: fractional presence of brush in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPBRUSH_SIM,NA,Fish cover: fractional presence of brush simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPLEDGES,NA,Fish cover: fractional presence of ledges,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPLEDGES_DD,NA,Fish cover: fractional presence of ledges in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPLEDGES_LIT,NA,Fish cover: fractional presence of ledges in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPLEDGES_SIM,NA,Fish cover: fractional presence of ledges simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPLIVETREES,NA,Fish cover: fractional presence of live trees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPLIVETREES_DD,NA,Fish cover: fractional presence of live trees in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPLIVETREES_LIT,NA,Fish cover: fractional presence of live trees in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPLIVETREES_SIM,NA,Fish cover: fractional presence of live trees simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPOVERHANG,NA,Fish cover: fractional presence of overhangs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPOVERHANG_DD,NA,Fish cover: fractional presence of overhangs in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPOVERHANG_LIT,NA,Fish cover: fractional presence of overhangs in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPOVERHANG_SIM,NA,Fish cover: fractional presence of overhangs simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPSNAG,NA,Fish cover: fractional presence of snags,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPSNAGS_DD,NA,Fish cover: fractional presence of snags in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPSNAGS_LIT,NA,Fish cover: fractional presence of snags in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPSNAGS_SIM,NA,Fish cover: fractional presence of snags simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPSTRUCTURES,NA,Fish cover: fractional presence of artificial structures,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPSTRUCTURES_DD,NA,Fish cover: fractional presence of artificial structures in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPSTRUCTURES_LIT,NA,Fish cover: fractional presence of artificial structures in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCFPSTRUCTURES_SIM,NA,Fish cover: fractional presence of artificial structures simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCIALL,NA,Fish cover: index of total fish cover,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCIALL_DD,NA,Fish cover: index of total fish cover in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCIALL_LIT,NA,Fish cover: index of total fish cover in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCIALL_SIM,NA,Fish cover: index of total fish cover simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCIBIG,NA,Fish cover: index of fish cover due to large structures,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCIBIG_DD,NA,Fish cover: index of fish cover due to large structures in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCIBIG_LIT,NA,Fish cover: index of fish cover due to large structures in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCIBIG_SIM,NA,Fish cover: index of fish cover due to large structures simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCINATURAL,NA,Fish cover: index of fish cover due to natural structures,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCINATURAL_DD,NA,Fish cover: index of fish cover due to natural structures in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCINATURAL_LIT,NA,Fish cover: index of fish cover due to natural structures in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCINATURAL_SIM,NA,Fish cover: index of fish cover due to natural structures simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCIRIPVEG,NA,Fish cover: index of fish cover due to riparian vegetation,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCIRIPVEG_DD,NA,Fish cover: index of fish cover due to riparian vegetation in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCIRIPVEG_LIT,NA,Fish cover: index of fish cover due to riparian vegetation in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCIRIPVEG_SIM,NA,Fish cover: index of fish cover due to riparian vegetation simulating 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNALL,NA,Fish cover: number of fish cover data,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNALL_DD,NA,Fish cover: number of fish cover values in the drawdown,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNALL_LIT,NA,Fish cover: number of fish cover values in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNALL_SIM,NA,Fish cover: number of fish cover data simulating the 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNAQUATIC,NA,Fish cover: number of aquatic vegetation,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNAQUATIC_DD,NA,Fish cover: number of aquatic vegetation values in the drawdown,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNAQUATIC_LIT,NA,Fish cover: number of aquatic vegetation values in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNAQUATIC_SIM,NA,Fish cover: number of aquatic vegetation data simulating the 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNBOULDERS,NA,Fish cover: number of boulders,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNBOULDERS_DD,NA,Fish cover: number of boulders values in the drawdown,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNBOULDERS_LIT,NA,Fish cover: number of boulders values in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNBOULDERS_SIM,NA,Fish cover: number of boulders data simulating the 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNBRUSH,NA,Fish cover: number of brush,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNBRUSH_DD,NA,Fish cover: number of brush values in the drawdown,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNBRUSH_LIT,NA,Fish cover: number of brush values in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNBRUSH_SIM,NA,Fish cover: number of brush data simulating the 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNLEDGES,NA,Fish cover: number of ledges,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNLEDGES_DD,NA,Fish cover: number of ledges values in the drawdown,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNLEDGES_LIT,NA,Fish cover: number of ledges values in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNLEDGES_SIM,NA,Fish cover: number of ledges data simulating the 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNLIVETREES,NA,Fish cover: number of live trees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNLIVETREES_DD,NA,Fish cover: number of live trees values in the drawdown,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNLIVETREES_LIT,NA,Fish cover: number of live trees values in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNLIVETREES_SIM,NA,Fish cover: number of live trees data simulating the 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNOVERHANG,NA,Fish cover: number of overhangs,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNOVERHANG_DD,NA,Fish cover: number of overhangs values in the drawdown,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNOVERHANG_LIT,NA,Fish cover: number of overhangs values in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNOVERHANG_SIM,NA,Fish cover: number of overhangs data simulating the 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNSNAG,NA,Fish cover: number of snags,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNSNAGS_DD,NA,Fish cover: number of snags values in the drawdown,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNSNAGS_LIT,NA,Fish cover: number of snags values in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNSNAGS_SIM,NA,Fish cover: number of snags data simulating the 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNSTRUCTURES,NA,Fish cover: number of artificial structures,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNSTRUCTURES_DD,NA,Fish cover: number of artificial structures values in the drawdown,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNSTRUCTURES_LIT,NA,Fish cover: number of artificial structures values in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCNSTRUCTURES_SIM,NA,Fish cover: number of artificial structures data simulating the 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCVAQUATIC,NA,Fish cover: std dev. of aquatic vegetation,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCVAQUATIC_DD,NA,Fish cover: std dev. of aquatic vegetation in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCVAQUATIC_LIT,NA,Fish cover: std dev. of aquatic vegetation in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCVAQUATIC_SIM,NA,Fish cover: std dev. of aquatic vegetation simulating the 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCVBOULDERS,NA,Fish cover: std dev. of boulders,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCVBOULDERS_DD,NA,Fish cover: std dev. of boulders in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCVBOULDERS_LIT,NA,Fish cover: std dev. of boulders in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCVBOULDERS_SIM,NA,Fish cover: std dev. of boulders simulating the 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCVBRUSH,NA,Fish cover: std dev. of brush,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCVBRUSH_DD,NA,Fish cover: std dev. of brush in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCVBRUSH_LIT,NA,Fish cover: std dev. of aquatic vegetation in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCVBRUSH_SIM,NA,Fish cover: std dev. of aquatic vegetation simulating the 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCVLEDGES,NA,Fish cover: std dev. of ledges,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCVLEDGES_DD,NA,Fish cover: std dev. of ledges in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCVLEDGES_LIT,NA,Fish cover: std dev. of ledges in the littoral zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCVLEDGES_SIM,NA,Fish cover: std dev. of ledges simulating the 2007 protocol,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCVLIVETREES,NA,Fish cover: std dev. of live trees,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
FCVLIVETREES_DD,NA,Fish cover: std dev. of live trees in the drawdown zone,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
