"dataset","field","units","description"
"phytotaxa","TARGET_TAXON",NA,"Name of taxon at target taxon level"
"phytotaxa","PUBLICATION_DATE",NA,"Publication Date"
"phytotaxa","TAXA_ID",NA,"Taxa identification number"
"phytotaxa","ASSEMBLAGE_NAME",NA,"Assemblage of taxon"
"secchi","SAMPLE_DEPTH","m","Depth of integrated sample"
"secchi","CLEAR_TO_BOTTOM",NA,"Lake clear to the bottom"
"secchi","DISAPPEARS","m","Depth at which secchi disk disappears"
"secchi","REAPPEARS","m","Depth at which secchi disk reappears"
"secchi","AGGR_ECO3_2015",NA,"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions"
"secchi","AGGR_ECO9_2015",NA,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"
"secchi","STATE",NA,"State lake is assigned to for sampling in NLA 2012"
"secchi","DATE_COL",NA,"Date of sample collection"
"secchi","SITE_ID",NA,"Identification code for site"
"secchi","VISIT_NO",NA,"Sequential number of visit to site"
"secchi","UID",NA,"Unique identifier for sampling event"
"secchi","ECO_BIO",NA,"Bioregions"
"secchi","SECCHI",NA,"Secchi depth (m)"
"secchi","PUBLICATION_DATE",NA,"Publication Date"
"secchi","YEAR",NA,"Year"
"topsedhg","AGGR_ECO3_2015",NA,"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions"
"topsedhg","AGGR_ECO9_2015",NA,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"
"topsedhg","STATE",NA,"State lake is assigned to for sampling in NLA 2012"
"topsedhg","DATE_COL",NA,"Date of sample collection"
"topsedhg","SITE_ID",NA,"Identification code for site"
"topsedhg","VISIT_NO",NA,"Sequential number of visit to site"
"topsedhg","TOTALHG_RESULT",NA,"Analyte value for sediment mercury for Total Mercury"
"topsedhg","TOTALHG_UNITS",NA,"Units for Total Mercury"
"topsedhg","TOTALHG_BATCH_ID",NA,"Batch ID from lab for Total Mercury"
"topsedhg","METHYLMERCURY_RESULT",NA,"Analyte value for top sediment mercury for Methyl mercury"
"topsedhg","METHYLMERCURY_UNITS",NA,"Units for Methyl mercury"
"topsedhg","METHYLMERCURY_BATCH_ID",NA,"Batch ID from lab for Methyl mercury"
"topsedhg","TOTALHG_RESULT",NA,"Analyte value for sediment mercury for Total Mercury"
"topsedhg","TOTALHG_UNITS",NA,"Units for Total Mercury"
"topsedhg","TOTALHG_BATCH_ID",NA,"Batch ID from lab for Total Mercury"
"topsedhg","ECO_BIO",NA,"Bioregions"
"topsedhg","LAB",NA,"Lab name"
"topsedhg","PUBLICATION_DATE",NA,"Publication Date"
"topsedhg","SEDH_SAMPLE_ID",NA,"Top Sediment sample ID"
"topsedhg","UID",NA,"Unique identifier for sampling event"
"waterchem","ANC_DATE_ANALYZED",NA,"Date of sample analysis for Acid Neutralizing Capacity"
"waterchem","ANC_HOLDING_TIME",NA,"Sample holding time for Acid Neutralizing Capacity"
"waterchem","ANC_QA_FLAG",NA,"QA flag associated with sample for Acid Neutralizing Capacity"
"waterchem","ANC_RESULT",NA,"Analyte value for Acid Neutralizing Capacity"
"waterchem","ANC_BATCH_ID",NA,"Batch ID from lab for Acid Neutralizing Capacity"
"waterchem","ANC_FLAG",NA,"Flag for Acid Neutralizing Capacity"
"waterchem","ANC_UNITS",NA,"Units for Acid Neutralizing Capacity"
"waterchem","ANC_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Acid Neutralizing Capacity"
"waterchem","ANC_LAB_FLAG",NA,"Flag from laboratory for Acid Neutralizing Capacity"
"waterchem","COND_DATE_ANALYZED",NA,"Date of sample analysis for Conductivity"
"waterchem","COND_HOLDING_TIME",NA,"Sample holding time for Conductivity"
"waterchem","COND_MDL",NA,"Minimum detection limit of analyte for Conductivity"
"waterchem","COND_QA_FLAG",NA,"QA flag associated with sample for Conductivity"
"waterchem","COND_RESULT",NA,"Analyte value for Conductivity"
"waterchem","COND_RL",NA,"Reporting limit for Conductivity"
"waterchem","COND_BATCH_ID",NA,"Batch ID from lab for Conductivity"
"waterchem","COND_FLAG",NA,"Flag for Conductivity"
"waterchem","COND_UNITS",NA,"Units for Conductivity"
"waterchem","COND_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Conductivity"
"waterchem","COND_LAB_FLAG",NA,"Flag from laboratory for Conductivity"
"waterchem","PH_DATE_ANALYZED",NA,"Date of sample analysis for pH"
"waterchem","PH_HOLDING_TIME",NA,"Sample holding time for pH"
"waterchem","PH_QA_FLAG",NA,"QA flag associated with sample for pH"
"waterchem","PH_RESULT",NA,"Analyte value for pH"
"waterchem","PH_BATCH_ID",NA,"Batch ID from lab for pH"
"waterchem","PH_FLAG",NA,"Flag for pH"
"waterchem","PH_UNITS",NA,"Units for pH"
"waterchem","PH_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for pH"
"waterchem","PH_LAB_FLAG",NA,"Flag from laboratory for pH"
"waterchem","TURB_DATE_ANALYZED",NA,"Date of sample analysis for Turbidity"
"waterchem","TURB_HOLDING_TIME",NA,"Sample holding time for Turbidity"
"waterchem","TURB_MDL",NA,"Minimum detection limit of analyte for Turbidity"
"waterchem","TURB_QA_FLAG",NA,"QA flag associated with sample for Turbidity"
"waterchem","TURB_RESULT",NA,"Analyte value for Turbidity"
"waterchem","TURB_RL",NA,"Reporting limit for Turbidity"
"waterchem","TURB_BATCH_ID",NA,"Batch ID from lab for Turbidity"
"waterchem","TURB_FLAG",NA,"Flag for Turbidity"
"waterchem","TURB_UNITS",NA,"Units for Turbidity"
"waterchem","TURB_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Turbidity"
"waterchem","TURB_LAB_FLAG",NA,"Flag from laboratory for Turbidity"
"waterchem","COLOR_DATE_ANALYZED",NA,"Date of sample analysis for Color"
"waterchem","COLOR_HOLDING_TIME",NA,"Sample holding time for Color"
"waterchem","COLOR_MDL",NA,"Minimum detection limit of analyte for Color"
"waterchem","COLOR_QA_FLAG",NA,"QA flag associated with sample for Color"
"waterchem","COLOR_RESULT",NA,"Analyte value for Color"
"waterchem","COLOR_RL",NA,"Reporting limit for Color"
"waterchem","COLOR_BATCH_ID",NA,"Batch ID from lab for Color"
"waterchem","COLOR_FLAG",NA,"Flag for Color"
"waterchem","COLOR_UNITS",NA,"Units for Color"
"waterchem","COLOR_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Color"
"waterchem","COLOR_LAB_FLAG",NA,"Flag from laboratory for Color"
"waterchem","CHLORIDE_DATE_ANALYZED",NA,"Date of sample analysis for Chloride ion"
"waterchem","CHLORIDE_HOLDING_TIME",NA,"Sample holding time for Chloride ion"
"waterchem","CHLORIDE_MDL",NA,"Minimum detection limit of analyte for Chloride ion"
"waterchem","CHLORIDE_QA_FLAG",NA,"QA flag associated with sample for Chloride ion"
"waterchem","CHLORIDE_RESULT",NA,"Analyte value for Chloride ion"
"waterchem","CHLORIDE_RL",NA,"Reporting limit for Chloride ion"
"waterchem","CHLORIDE_BATCH_ID",NA,"Batch ID from lab for Chloride ion"
"waterchem","CHLORIDE_FLAG",NA,"Flag for Chloride ion"
"waterchem","CHLORIDE_UNITS",NA,"Units for Chloride ion"
"waterchem","CHLORIDE_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Chloride ion"
"waterchem","CHLORIDE_LAB_FLAG",NA,"Flag from laboratory for Chloride ion"
"waterchem","NITRATE_N_DATE_ANALYZED",NA,"Date of sample analysis for Nitrate as N"
"waterchem","NITRATE_N_HOLDING_TIME",NA,"Sample holding time for Nitrate as N"
"waterchem","NITRATE_N_MDL",NA,"Minimum detection limit of analyte for Nitrate as N"
"waterchem","NITRATE_N_QA_FLAG",NA,"QA flag associated with sample for Nitrate as N"
"waterchem","NITRATE_N_RESULT",NA,"Analyte value for Nitrate as N"
"waterchem","NITRATE_N_RL",NA,"Reporting limit for Nitrate as N"
"waterchem","NITRATE_N_BATCH_ID",NA,"Batch ID from lab for Nitrate as N"
"waterchem","NITRATE_N_FLAG",NA,"Flag for Nitrate as N"
"waterchem","NITRATE_N_UNITS",NA,"Units for Nitrate as N"
"waterchem","NITRATE_N_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Nitrate as N"
"waterchem","NITRATE_N_LAB_FLAG",NA,"Flag from laboratory for Nitrate as N"
"waterchem","NITRATE_NITRITE_N_DATE_ANALYZED",NA,"Date of sample analysis for Nitrate + Nitrite as N"
"waterchem","NITRATE_NITRITE_N_HOLDING_TIME",NA,"Sample holding time for Nitrate + Nitrite as N"
"waterchem","NITRATE_NITRITE_N_MDL",NA,"Minimum detection limit of analyte for Nitrate + Nitrite as N"
"waterchem","NITRATE_NITRITE_N_QA_FLAG",NA,"QA flag associated with sample for Nitrate + Nitrite as N"
"waterchem","NITRATE_NITRITE_N_RESULT",NA,"Analyte value for Nitrate + Nitrite as N"
"waterchem","NITRATE_NITRITE_N_RL",NA,"Reporting limit for Nitrate + Nitrite as N"
"waterchem","NITRATE_NITRITE_N_BATCH_ID",NA,"Batch ID from lab for Nitrate + Nitrite as N"
"waterchem","NITRATE_NITRITE_N_FLAG",NA,"Flag for Nitrate + Nitrite as N"
"waterchem","NITRATE_NITRITE_N_UNITS",NA,"Units for Nitrate + Nitrite as N"
"waterchem","NITRATE_NITRITE_N_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Nitrate + Nitrite as N"
"waterchem","NITRATE_NITRITE_N_LAB_FLAG",NA,"Flag from laboratory for Nitrate + Nitrite as N"
"waterchem","NITRITE_N_DATE_ANALYZED",NA,"Date of sample analysis for Nitrite as N"
"waterchem","NITRITE_N_HOLDING_TIME",NA,"Sample holding time for Nitrite as N"
"waterchem","NITRITE_N_MDL",NA,"Minimum detection limit of analyte for Nitrite as N"
"waterchem","NITRITE_N_QA_FLAG",NA,"QA flag associated with sample for Nitrite as N"
"waterchem","NITRITE_N_RESULT",NA,"Analyte value for Nitrite as N"
"waterchem","NITRITE_N_RL",NA,"Reporting limit for Nitrite as N"
"waterchem","NITRITE_N_BATCH_ID",NA,"Batch ID from lab for Nitrite as N"
"waterchem","NITRITE_N_UNITS",NA,"Units for Nitrite as N"
"waterchem","NITRITE_N_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Nitrite as N"
"waterchem","NITRITE_N_LAB_FLAG",NA,"Flag from laboratory for Nitrite as N"
"waterchem","SILICA_DATE_ANALYZED",NA,"Date of sample analysis for Silica"
"waterchem","SILICA_HOLDING_TIME",NA,"Sample holding time for Silica"
"waterchem","SILICA_MDL",NA,"Minimum detection limit of analyte for Silica"
"waterchem","SILICA_QA_FLAG",NA,"QA flag associated with sample for Silica"
"waterchem","SILICA_RESULT",NA,"Analyte value for Silica"
"waterchem","SILICA_RL",NA,"Reporting limit for Silica"
"waterchem","SILICA_BATCH_ID",NA,"Batch ID from lab for Silica"
"waterchem","SILICA_FLAG",NA,"Flag for Silica"
"waterchem","SILICA_UNITS",NA,"Units for Silica"
"waterchem","SILICA_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Silica"
"waterchem","SILICA_LAB_FLAG",NA,"Flag from laboratory for Silica"
"waterchem","SULFATE_DATE_ANALYZED",NA,"Date of sample analysis for Sulfate"
"waterchem","SULFATE_HOLDING_TIME",NA,"Sample holding time for Sulfate"
"waterchem","SULFATE_MDL",NA,"Minimum detection limit of analyte for Sulfate"
"waterchem","SULFATE_QA_FLAG",NA,"QA flag associated with sample for Sulfate"
"waterchem","SULFATE_RESULT",NA,"Analyte value for Sulfate"
"waterchem","SULFATE_RL",NA,"Reporting limit for Sulfate"
"waterchem","SULFATE_BATCH_ID",NA,"Batch ID from lab for Sulfate"
"waterchem","SULFATE_FLAG",NA,"Flag for Sulfate"
"waterchem","SULFATE_UNITS",NA,"Units for Sulfate"
"waterchem","SULFATE_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Sulfate"
"waterchem","SULFATE_LAB_FLAG",NA,"Flag from laboratory for Sulfate"
"waterchem","ALUMINUM_DATE_ANALYZED",NA,"Date of sample analysis for Aluminum"
"waterchem","ALUMINUM_HOLDING_TIME",NA,"Sample holding time for Aluminum"
"waterchem","ALUMINUM_MDL",NA,"Minimum detection limit of analyte for Aluminum"
"waterchem","ALUMINUM_QA_FLAG",NA,"QA flag associated with sample for Aluminum"
"waterchem","ALUMINUM_RESULT",NA,"Analyte value for Aluminum"
"waterchem","ALUMINUM_RL",NA,"Reporting limit for Aluminum"
"waterchem","ALUMINUM_BATCH_ID",NA,"Batch ID from lab for Aluminum"
"waterchem","ALUMINUM_UNITS",NA,"Units for Aluminum"
"waterchem","ALUMINUM_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Aluminum"
"waterchem","ALUMINUM_LAB_FLAG",NA,"Flag from laboratory for Aluminum"
"waterchem","CALCIUM_DATE_ANALYZED",NA,"Date of sample analysis for Calcium"
"waterchem","CALCIUM_HOLDING_TIME",NA,"Sample holding time for Calcium"
"waterchem","CALCIUM_MDL",NA,"Minimum detection limit of analyte for Calcium"
"waterchem","CALCIUM_QA_FLAG",NA,"QA flag associated with sample for Calcium"
"waterchem","CALCIUM_RESULT",NA,"Analyte value for Calcium"
"waterchem","CALCIUM_RL",NA,"Reporting limit for Calcium"
"waterchem","CALCIUM_BATCH_ID",NA,"Batch ID from lab for Calcium"
"waterchem","CALCIUM_FLAG",NA,"Flag for Calcium"
"waterchem","CALCIUM_UNITS",NA,"Units for Calcium"
"waterchem","CALCIUM_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Calcium"
"waterchem","CALCIUM_LAB_FLAG",NA,"Flag from laboratory for Calcium"
"waterchem","AMMONIA_N_DATE_ANALYZED",NA,"Date of sample analysis for Ammonia as N"
"waterchem","AMMONIA_N_HOLDING_TIME",NA,"Sample holding time for Ammonia as N"
"waterchem","AMMONIA_N_MDL",NA,"Minimum detection limit of analyte for Ammonia as N"
"waterchem","AMMONIA_N_QA_FLAG",NA,"QA flag associated with sample for Ammonia as N"
"waterchem","AMMONIA_N_RESULT",NA,"Analyte value for Ammonia as N"
"waterchem","AMMONIA_N_RL",NA,"Reporting limit for Ammonia as N"
"waterchem","AMMONIA_N_BATCH_ID",NA,"Batch ID from lab for Ammonia as N"
"waterchem","AMMONIA_N_UNITS",NA,"Units for Ammonia as N"
"waterchem","AMMONIA_N_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Ammonia as N"
"waterchem","AMMONIA_N_LAB_FLAG",NA,"Flag from laboratory for Ammonia as N"
"waterchem","DOC_DATE_ANALYZED",NA,"Date of sample analysis for Dissolved Organic Carbon"
"waterchem","DOC_HOLDING_TIME",NA,"Sample holding time for Dissolved Organic Carbon"
"waterchem","DOC_MDL",NA,"Minimum detection limit of analyte for Dissolved Organic Carbon"
"waterchem","DOC_QA_FLAG",NA,"QA flag associated with sample for Dissolved Organic Carbon"
"waterchem","DOC_RESULT",NA,"Analyte value for Dissolved Organic Carbon"
"waterchem","DOC_RL",NA,"Reporting limit for Dissolved Organic Carbon"
"waterchem","DOC_BATCH_ID",NA,"Batch ID from lab for Dissolved Organic Carbon"
"waterchem","DOC_FLAG",NA,"Flag for Dissolved Organic Carbon"
"waterchem","DOC_UNITS",NA,"Units for Dissolved Organic Carbon"
"waterchem","DOC_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Dissolved Organic Carbon"
"waterchem","DOC_LAB_FLAG",NA,"Flag from laboratory for Dissolved Organic Carbon"
"waterchem","SODIUM_DATE_ANALYZED",NA,"Date of sample analysis for Sodium"
"waterchem","SODIUM_HOLDING_TIME",NA,"Sample holding time for Sodium"
"waterchem","SODIUM_MDL",NA,"Minimum detection limit of analyte for Sodium"
"waterchem","SODIUM_QA_FLAG",NA,"QA flag associated with sample for Sodium"
"waterchem","SODIUM_RESULT",NA,"Analyte value for Sodium"
"waterchem","SODIUM_RL",NA,"Reporting limit for Sodium"
"waterchem","SODIUM_BATCH_ID",NA,"Batch ID from lab for Sodium"
"waterchem","SODIUM_FLAG",NA,"Flag for Sodium"
"waterchem","SODIUM_UNITS",NA,"Units for Sodium"
"waterchem","SODIUM_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Sodium"
"waterchem","TSS_DATE_ANALYZED",NA,"Date of sample analysis for Total Suspended Solids"
"waterchem","TSS_HOLDING_TIME",NA,"Sample holding time for Total Suspended Solids"
"waterchem","TSS_MDL",NA,"Minimum detection limit of analyte for Total Suspended Solids"
"waterchem","TSS_QA_FLAG",NA,"QA flag associated with sample for Total Suspended Solids"
"waterchem","TSS_RESULT",NA,"Analyte value for Total Suspended Solids"
"waterchem","TSS_RL",NA,"Reporting limit for Total Suspended Solids"
"waterchem","TSS_BATCH_ID",NA,"Batch ID from lab for Total Suspended Solids"
"waterchem","TSS_FLAG",NA,"Flag for Total Suspended Solids"
"waterchem","TSS_UNITS",NA,"Units for Total Suspended Solids"
"waterchem","TSS_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Total Suspended Solids"
"waterchem","MAGNESIUM_DATE_ANALYZED",NA,"Date of sample analysis for Magnesium"
"waterchem","MAGNESIUM_HOLDING_TIME",NA,"Sample holding time for Magnesium"
"waterchem","MAGNESIUM_MDL",NA,"Minimum detection limit of analyte for Magnesium"
"waterchem","MAGNESIUM_QA_FLAG",NA,"QA flag associated with sample for Magnesium"
"waterchem","MAGNESIUM_RESULT",NA,"Analyte value for Magnesium"
"waterchem","MAGNESIUM_RL",NA,"Reporting limit for Magnesium"
"waterchem","MAGNESIUM_BATCH_ID",NA,"Batch ID from lab for Magnesium"
"waterchem","MAGNESIUM_FLAG",NA,"Flag for Magnesium"
"waterchem","MAGNESIUM_UNITS",NA,"Units for Magnesium"
"waterchem","MAGNESIUM_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Magnesium"
"waterchem","MAGNESIUM_LAB_FLAG",NA,"Flag from laboratory for Magnesium"
"waterchem","POTASSIUM_DATE_ANALYZED",NA,"Date of sample analysis for Potassium"
"waterchem","POTASSIUM_HOLDING_TIME",NA,"Sample holding time for Potassium"
"waterchem","POTASSIUM_MDL",NA,"Minimum detection limit of analyte for Potassium"
"waterchem","POTASSIUM_QA_FLAG",NA,"QA flag associated with sample for Potassium"
"waterchem","POTASSIUM_RESULT",NA,"Analyte value for Potassium"
"waterchem","POTASSIUM_RL",NA,"Reporting limit for Potassium"
"waterchem","POTASSIUM_BATCH_ID",NA,"Batch ID from lab for Potassium"
"waterchem","POTASSIUM_FLAG",NA,"Flag for Potassium"
"waterchem","POTASSIUM_UNITS",NA,"Units for Potassium"
"waterchem","POTASSIUM_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Potassium"
"waterchem","POTASSIUM_LAB_FLAG",NA,"Flag from laboratory for Potassium"
"waterchem","TOC_HOLDING_TIME",NA,"Sample holding time for Total Organic Carbon"
"waterchem","TOC_RESULT",NA,"Analyte value for Total Organic Carbon"
"waterchem","TOC_BATCH_ID",NA,"Batch ID from lab for Total Organic Carbon"
"waterchem","TOC_UNITS",NA,"Units for Total Organic Carbon"
"waterchem","NTL_QA_FLAG",NA,"QA flag associated with sample for Total Nitrogen"
"waterchem","NTL_MDL",NA,"Minimum detection limit of analyte for Total Nitrogen"
"waterchem","NTL_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Total Nitrogen"
"waterchem","NTL_DATE_ANALYZED",NA,"Date of sample analysis for Total Nitrogen"
"waterchem","NTL_HOLDING_TIME",NA,"Sample holding time for Total Nitrogen"
"waterchem","NTL_LAB_FLAG",NA,"Flag from laboratory for Total Nitrogen"
"waterchem","NTL_UNITS",NA,"Units for Total Nitrogen"
"waterchem","NTL_BATCH_ID",NA,"Batch ID from lab for Total Nitrogen"
"waterchem","NTL_FLAG",NA,"Flag for Total Nitrogen"
"waterchem","NTL_RESULT",NA,"Analyte value for Total Nitrogen"
"waterchem","NTL_RL",NA,"Reporting limit for Total Nitrogen"
"waterchem","PTL_QA_FLAG",NA,"QA flag associated with sample for Total Phosphorus"
"waterchem","PTL_MDL",NA,"Minimum detection limit of analyte for Total Phosphorus"
"waterchem","PTL_LAB_SAMPLE_ID",NA,"Laboratory Sample ID for Total Phosphorus"
"waterchem","PTL_DATE_ANALYZED",NA,"Date of sample analysis for Total Phosphorus"
"waterchem","PTL_HOLDING_TIME",NA,"Sample holding time for Total Phosphorus"
"waterchem","PTL_LAB_FLAG",NA,"Flag from laboratory for Total Phosphorus"
"waterchem","PTL_UNITS",NA,"Units for Total Phosphorus"
"waterchem","PTL_BATCH_ID",NA,"Batch ID from lab for Total Phosphorus"
"waterchem","PTL_FLAG",NA,"Flag for Total Phosphorus"
"waterchem","PTL_RESULT",NA,"Analyte value for Total Phosphorus"
"waterchem","PTL_RL",NA,"Reporting limit for Total Phosphorus"
"waterchem","CHEM_SAMPLE_ID",NA,"Chemistry Sample ID"
"waterchem","CHEM_SHIP_FLAG",NA,"Chemistry Shipping Flag"
"waterchem","LAB",NA,"Lab name"
"waterchem","NUTS_SAMPLE_ID",NA,"Nutrients Sample ID"
"waterchem","NUTS_SHIP_FLAG",NA,"Nutrients Shipping Flag"
"waterchem","SAM_CODE",NA,NA
"waterchem","UID",NA,"Unique identifier for sampling event"
"benthic","IS_DISTINCT_300",NA,"Distinct taxon in 300-organism subsample"
"benthic","TOTAL_300",NA,"Total number of individuals in 300-organism subsample, based on NLA standardized taxonomy sample"
"benthic","AGGR_ECO3_2015",NA,"NARS 3-level reporting region (2015), based on aggregating AGGR_ECO9_2015 reporting regions"
"benthic","AGGR_ECO9_2015",NA,"NARS 9-level reporting region (2015), based on aggregated Omernik Level III ecoregions"
"benthic","STATE",NA,"State lake is assigned to for sampling in NLA 2012"
"benthic","CLASS",NA,"Class of taxon"
"benthic","FAMILY",NA,"Family of taxon"
"benthic","FFG",NA,"Functional feeding group; codes separated by commas if more than one"
"benthic","GENUS",NA,"Genus of taxon"
"benthic","HABIT",NA,"Habit designation for macroinvertebrates"
"benthic","ORDER",NA,"Order of taxon"
"benthic","PHYLUM",NA,"Phylum of taxon"
"benthic","PTV",NA,"Pollution tolerance value for macroinvertebrate taxon"
"benthic","SUBFAMILY",NA,"Subfamily of taxon"
"benthic","TARGET_TAXON",NA,"Name of taxon at target taxon level"
"benthic","TRIBE",NA,"Tribe of taxon"
"benthic","DATE_COL",NA,"Date of sample collection"
"benthic","SITE_ID",NA,"Identification code for site"
"benthic","VISIT_NO",NA,"Sequential number of visit to site"
"benthic","UID",NA,"Unique identifier for sampling event"
"benthic","ECO_BIO",NA,"Bioregions"
"benthic","PUBLICATION_DATE",NA,"Publication Date"
"benthic","TAXA_ID",NA,"Taxa identification number"
"benthic","YEAR",NA,"Year"
"phab","REVIEWED_BY_INITIAL",NA,"Intials of form reviewer"
"phab","REVIEWED_BY_INITIAL",NA,"Intials of form reviewer"
"phab","REVIEWED_BY_INITIAL",NA,"Intials of form reviewer"
"phab","REVIEWED_BY_INITIAL",NA,"Intials of form reviewer"
"phab","ACTUAL_DATE","datetime","Actual date sample was collected if different from DATE_COL for site"
"phab","ACTUAL_DATE","datetime","Actual date sample was collected if different from DATE_COL for site"
"phab","ACTUAL_DATE","datetime","Actual date sample was collected if different from DATE_COL for site"
"phab","ACTUAL_DATE","datetime","Actual date sample was collected if different from DATE_COL for site"
"phab","ACTUAL_DATE","datetime","Actual date sample was collected if different from DATE_COL for site"
"phab","ACTUAL_DATE","datetime","Actual date sample was collected if different from DATE_COL for site"
"phab","ACTUAL_DATE","datetime","Actual date sample was collected if different from DATE_COL for site"
"phab","ACTUAL_DATE","datetime","Actual date sample was collected if different from DATE_COL for site"
"phab","AM_EMERGENT",NA,"Emergent aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","AM_FLOATING",NA,"Floating aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","AM_SUBMERGENT",NA,"Submergent aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","AM_TOTALCOVER",NA,"Total cover aquatic macrophytes (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","ANGLE",NA,"Bank angle"
"phab","BS_BEDROCK",NA,"Bottom substrate bedrock (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","BS_BOULDER",NA,"Bottom substrate boulders (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","BS_COBBLE",NA,"Bottom substrate cobble (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","BS_COLOR",NA,"Bottom substrate color"
"phab","BS_COLOR_DESC",NA,"Description of substrate color"
"phab","BS_GRAVEL",NA,"Bottom substrate gravel (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","BS_ORGANIC",NA,"Bottom substrate organic (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","BS_OTHER",NA,"percent cover by other"
"phab","BS_SAND",NA,"Bottom substrate sand (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","BS_SILT",NA,"Bottom substrate silt (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","BS_WOOD",NA,"Bottom substrate woody debris (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","C_BIGTREES",NA,"Canopy big trees (Trunk > 0.3 DBH)(0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","C_BIGTREES_DD",NA,"percent cover by Canopy big trees (Trunk > 0.3 DBH) in the draw down zone"
"phab","C_SMALLTREES",NA,"Canopy small trees (Trunk < 0.3 DBH)(0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","C_SMALLTREES_DD",NA,"percent cover by canopy small trees (Trunk < 0.3 DBH) in the draw down zone"
"phab","CANOPY",NA,"Canopy type"
"phab","CANOPY_DD",NA,"Canopy type in the draw down zone"
"phab","COLOR",NA,"NLA 2007 Littoral substrate color"
"phab","COVER_ARTIFICIAL",NA,"NLA 2007 Littoral Fish Macrohabitat Characterization - Cover Type: Artificial"
"phab","COVER_BOULDERS",NA,"NLA 2007 Littoral Fish Macrohabitat Characterization - Cover Type: Boulders"
"phab","COVER_CLASS",NA,"NLA 2007 Littoral Fish Macrohabitat Characterization - Cover Class"
"phab","COVER_FILL",NA,"NLA 2007 Littoral Fish Macrohabitat Characterization - Cover Type: Fill"
"phab","COVER_NONE",NA,"NLA 2007 Littoral Fish Macrohabitat Characterization - Cover Type: None"
"phab","COVER_VEG",NA,"NLA 2007 Littoral Fish Macrohabitat Characterization - Cover Type: Vegetation"
"phab","COVER_WOODY",NA,"NLA 2007 Littoral Fish Macrohabitat Characterization - Cover Type: Woody"
"phab","DEPTH_AT_STATION","m","Depth at station 10m off shore"
"phab","DEPTH_UNIT",NA,"Depth units used"
"phab","DRAWDOWN",NA,"Station dropped or relocated (X/blank)"
"phab","DROPPED",NA,"Drawdown?"
"phab","FC_AQUATIC",NA,"Fish cover aquatic vegetation (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","FC_AQUATIC_DD",NA,"percent fish cover by aquatic veg in the drawdown zone"
"phab","FC_BOULDERS",NA,"Fish cover boulders (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","FC_BOULDERS_DD",NA,"percent fish cover by boulders in the drawdown zone"
"phab","FC_BRUSH",NA,"Fish cover brush (0=0%, 1=<10%, 2=10-40%, 3=40-75%, 4=>75%)"
"phab","FC_BRUSH_DD",NA,"percent fish cover by brush in the drawdown zone"
