"UID","SITE_ID","YEAR","VISIT_NO","DATE_COL","ECO_BIO","AGGR_ECO3_2015","AGGR_ECO9_2015","BENT_COND","MMI_BENT_NLA12","COMP_PT","DIVS_PT","FEED_PT","HABT_PT","RICH_PT","TOLR_PT","TOTLNIND","PUBLICATION_DATE"
2007647,"NLA06608-0183",2007,1,"7/25/2007","UMW","PLNLOW","UMW","Poor",22.8,0.36,4.29,1.95,0.91,3.33,2.85,300,"8/23/2016"
2007648,"NLA06608-0184",2007,1,"6/15/2007","PLAINS","PLNLOW","TPL","Poor",18,2.31,2.81,1.76,1.07,2,0.85,300,"8/23/2016"
2007649,"NLA06608-0185",2007,1,"8/14/2007","EHIGH","EHIGH","NAP","Good",77.4,7.1,7,8.42,8.89,5,10,300,"8/23/2016"
2007650,"NLA06608-0189",2007,1,"6/11/2007","EHIGH","EHIGH","SAP","Poor",21.9,4.71,0.83,3.16,4.44,0,0,300,"8/23/2016"
2007651,"NLA06608-0189",2007,2,"7/10/2007","EHIGH","EHIGH","SAP","Poor",32,1.57,2.55,5.79,5.56,2.5,1.25,300,"8/23/2016"
2007652,"NLA06608-0190",2007,1,"8/14/2007","UMW","PLNLOW","UMW","Fair",46.6,3.79,5.99,6.53,2.73,6.67,2.3,300,"8/23/2016"
2007653,"NLA06608-0191",2007,1,"7/21/2007","EHIGH","EHIGH","SAP","Not Assessed",NA,NA,NA,NA,NA,NA,NA,43,"8/23/2016"
2007654,"NLA06608-0193",2007,1,"7/11/2007","WMTNS","WMTNS","WMT","Not Assessed",NA,NA,NA,NA,NA,NA,NA,78,"8/23/2016"
2007655,"NLA06608-0195",2007,1,"6/12/2007","PLAINS","PLNLOW","NPL","Poor",27.2,4.62,0.3,4.12,4.29,3,0,289,"8/23/2016"
2007656,"NLA06608-0196",2007,1,"6/21/2007","PLAINS","PLNLOW","TPL","Good",42,2.95,4.72,8.24,5.24,2,2.03,300,"8/23/2016"
2007657,"NLA06608-0198",2007,1,"7/24/2007","CPL","PLNLOW","CPL","Poor",38.7,1.55,0.75,2.94,3,7.14,7.82,300,"8/23/2016"
2007658,"NLA06608-0201",2007,1,"9/18/2007","WMTNS","WMTNS","WMT","Fair",45.7,7.22,5.9,6,2.86,2.86,2.59,203,"8/23/2016"
2007661,"NLA06608-0204",2007,1,"9/12/2007","PLAINS","PLNLOW","SPL","Fair",37,4.62,3.03,5.29,4.29,5,0,300,"8/23/2016"
2007662,"NLA06608-0207",2007,1,"7/18/2007","EHIGH","EHIGH","SAP","Good",52.6,7.81,5.2,5.79,7.78,2.5,2.5,300,"8/23/2016"
2007663,"NLA06608-0207",2007,2,"9/5/2007","EHIGH","EHIGH","SAP","Good",50.5,6.97,5.74,3.68,5.56,5.83,2.5,300,"8/23/2016"
2007664,"NLA06608-0208",2007,1,"9/6/2007","CPL","PLNLOW","CPL","Poor",39.9,8.16,2.3,2.94,2,7.14,1.38,300,"8/23/2016"
2007665,"NLA06608-0209",2007,1,"7/19/2007","WMTNS","WMTNS","WMT","Good",67.4,2.3,9.83,4,5.71,8.57,10,300,"8/23/2016"
2007666,"NLA06608-0209",2007,2,"9/27/2007","WMTNS","WMTNS","WMT","Fair",51.2,0.94,8.54,4,5.71,5.71,5.83,300,"8/23/2016"
2007667,"NLA06608-0211",2007,1,"8/7/2007","UMW","PLNLOW","UMW","Poor",40,3.82,7.01,2.71,3.64,6.67,0.18,300,"8/23/2016"
2007668,"NLA06608-0212",2007,1,"7/12/2007","EHIGH","EHIGH","SAP","Fair",47.4,4.87,6.27,5.79,4.44,5.83,1.25,251,"8/23/2016"
2007669,"NLA06608-0215",2007,1,"8/22/2007","UMW","PLNLOW","UMW","Poor",45.4,3.94,8.97,2.92,3.64,6.67,1.1,300,"8/23/2016"
2007670,"NLA06608-0216",2007,1,"7/6/2007","PLAINS","PLNLOW","TPL","Good",41.6,3.96,3.28,8.24,5.51,4,0,300,"8/23/2016"
2007671,"NLA06608-0217",2007,1,"6/24/2007","EHIGH","EHIGH","SAP","Fair",40.6,5.36,3.07,3.68,5.56,4.17,2.5,300,"8/23/2016"
2007672,"NLA06608-0219",2007,1,"8/1/2007","PLAINS","PLNLOW","TPL","Good",45.5,4.3,7.69,4.12,7.54,3,0.68,300,"8/23/2016"
2007673,"NLA06608-0220",2007,1,"8/2/2007","PLAINS","PLNLOW","SPL","Not Assessed",NA,NA,NA,NA,NA,NA,NA,27,"8/23/2016"
2007674,"NLA06608-0221",2007,1,"6/28/2007","CPL","PLNLOW","CPL","Good",61.5,5.07,6.03,7.65,9,4.29,4.89,300,"8/23/2016"
2007675,"NLA06608-0222",2007,1,"6/27/2007","PLAINS","PLNLOW","NPL","Fair",29.8,7.06,0,2.94,0.75,4,3.15,226,"8/23/2016"
2007676,"NLA06608-0223",2007,1,"6/27/2007","EHIGH","EHIGH","SAP","Fair",49.8,3.04,7.06,6.32,5.56,4.17,3.75,300,"8/23/2016"
2007677,"NLA06608-0223",2007,2,"8/29/2007","EHIGH","EHIGH","SAP","Fair",42.1,3.67,6.82,4.21,5.56,2.5,2.5,300,"8/23/2016"
2007678,"NLA06608-0224",2007,1,"7/19/2007","EHIGH","EHIGH","SAP","Poor",24.7,3.32,5.22,4.21,0,0.83,1.25,300,"8/23/2016"
2007679,"NLA06608-0224",2007,2,"9/23/2007","EHIGH","EHIGH","SAP","Not Assessed",NA,NA,NA,NA,NA,NA,NA,87,"8/23/2016"
2007680,"NLA06608-0225",2007,1,"7/11/2007","PLAINS","PLNLOW","NPL","Poor",25.1,1.48,2.71,4.71,1.84,4,0.34,300,"8/23/2016"
2007681,"NLA06608-0225",2007,2,"8/24/2007","PLAINS","PLNLOW","NPL","Poor",26.7,2.31,3.08,1.18,4.29,4,1.18,300,"8/23/2016"
2007682,"NLA06608-0226",2007,1,"7/9/2007","EHIGH","EHIGH","NAP","Good",53.6,7.81,6.41,6.84,4.44,4.17,2.5,300,"8/23/2016"
2007683,"NLA06608-0228",2007,1,"6/26/2007","PLAINS","PLNLOW","SPL","Poor",28,2.31,2.34,4.12,2.86,4,1.18,300,"8/23/2016"
2007684,"NLA06608-0228",2007,2,"8/6/2007","PLAINS","PLNLOW","SPL","Poor",28.6,0.21,6.73,2.35,3.51,3,1.36,300,"8/23/2016"
2007685,"NLA06608-0229",2007,1,"9/13/2007","EHIGH","EHIGH","NAP","Good",70.6,10,9.48,5.26,5.56,3.33,8.75,206,"8/23/2016"
2007687,"NLA06608-0234",2007,1,"8/23/2007","UMW","PLNLOW","UMW","Fair",46.5,3.23,6.42,8.12,1.82,6.67,1.64,300,"8/23/2016"
2007688,"NLA06608-0235",2007,1,"7/16/2007","UMW","PLNLOW","UMW","Poor",11,0.84,0.81,0.14,0.91,3.33,0.59,300,"8/23/2016"
2007690,"NLA06608-0237",2007,1,"6/26/2007","WMTNS","WMTNS","XER","Fair",45.6,7.28,6.74,4,4.29,2.86,2.22,300,"8/23/2016"
2007691,"NLA06608-0237",2007,2,"7/17/2007","WMTNS","WMTNS","XER","Fair",50,4,9.27,4,4.29,2.86,5.6,300,"8/23/2016"
2007692,"NLA06608-0238",2007,1,"7/11/2007","UMW","PLNLOW","UMW","Good",61.1,2.71,8.8,8.47,5.45,6.67,4.54,300,"8/23/2016"
2007693,"NLA06608-0239",2007,1,"7/24/2007","EHIGH","EHIGH","SAP","Poor",37,0,4.11,6.32,5.56,5,1.25,300,"8/23/2016"
2007694,"NLA06608-0240",2007,1,"7/25/2007","PLAINS","PLNLOW","NPL","Fair",31.4,4.97,1.74,4.12,2.31,5,0.68,300,"8/23/2016"
2007695,"NLA06608-0241",2007,1,"8/15/2007","WMTNS","WMTNS","XER","Good",69.8,7.11,6.4,8,2.86,10,7.53,300,"8/23/2016"
2007696,"NLA06608-0242",2007,1,"8/2/2007","EHIGH","EHIGH","NAP","Good",67.2,3.28,8.98,9.47,7.78,5.83,5,300,"8/23/2016"
2007699,"NLA06608-0245",2007,1,"7/24/2007","WMTNS","WMTNS","XER","Poor",38.9,9.19,2.53,6,1.43,1.43,2.74,300,"8/23/2016"
2007700,"NLA06608-0247",2007,1,"7/17/2007","PLAINS","PLNLOW","TPL","Not Assessed",NA,NA,NA,NA,NA,NA,NA,91,"8/23/2016"
2007701,"NLA06608-0253",2007,1,"8/8/2007","CPL","PLNLOW","CPL","Fair",43.6,10,2.81,2.35,5,1.43,4.6,300,"8/23/2016"
2007702,"NLA06608-0254",2007,1,"6/21/2007","PLAINS","PLNLOW","TPL","Fair",40.9,10,10,0,1.84,2,0.68,300,"8/23/2016"
2007703,"NLA06608-0255",2007,1,"8/7/2007","EHIGH","EHIGH","SAP","Poor",17.5,4.79,2.67,0,2.22,0.83,0,281,"8/23/2016"
2007705,"NLA06608-0259",2007,1,"6/14/2007","PLAINS","PLNLOW","NPL","Poor",21.4,8.42,0,0,3.28,1,0.17,300,"8/23/2016"
2007707,"NLA06608-0268",2007,1,"9/10/2007","PLAINS","PLNLOW","SPL","Good",49.2,2.31,7,8.82,3.21,8,0.17,300,"8/23/2016"
2007709,"NLA06608-0275",2007,1,"6/21/2007","PLAINS","PLNLOW","NPL","Fair",34.7,9.23,0,0.59,10,1,0,300,"8/23/2016"
2007710,"NLA06608-0276",2007,1,"8/7/2007","WMTNS","WMTNS","WMT","Fair",44.1,2.47,5.62,8,4.29,1.43,4.67,300,"8/23/2016"
2007711,"NLA06608-0277",2007,1,"7/20/2007","WMTNS","WMTNS","XER","Poor",14.5,1.62,0.22,4,0,2.86,0,300,"8/23/2016"
2007712,"NLA06608-0279",2007,1,"8/8/2007","UMW","PLNLOW","UMW","Poor",30.6,0,0,10,0,6.67,1.71,229,"8/23/2016"
2007713,"NLA06608-0280",2007,1,"7/25/2007","CPL","PLNLOW","CPL","Good",58.2,5.21,6.77,7.65,7,5.71,2.59,300,"8/23/2016"
2007714,"NLA06608-0281",2007,1,"6/20/2007","EHIGH","EHIGH","SAP","Poor",30.3,3,3.77,4.74,3.33,0.83,2.5,300,"8/23/2016"
2007716,"NLA06608-0283",2007,1,"7/9/2007","CPL","PLNLOW","CPL","Poor",24.3,4.2,3.37,4.12,2,0,0.86,300,"8/23/2016"
2007717,"NLA06608-0284",2007,1,"7/30/2007","PLAINS","PLNLOW","SPL","Poor",21.2,1.42,1.91,5.88,2.31,1,0.18,284,"8/23/2016"
2007718,"NLA06608-0285",2007,1,"7/24/2007","CPL","PLNLOW","CPL","Good",54.2,3.3,6.89,6.47,10,1.43,4.43,300,"8/23/2016"
2007719,"NLA06608-0286",2007,1,"8/8/2007","UMW","PLNLOW","UMW","Good",83.5,10,9.01,8.4,7.27,10,5.42,300,"8/23/2016"
2007720,"NLA06608-0290",2007,1,"7/11/2007","WMTNS","WMTNS","WMT","Fair",47.4,2.43,6.97,6,2.86,5.71,4.44,300,"8/23/2016"
2007721,"NLA06608-0290",2007,2,"9/10/2007","WMTNS","WMTNS","WMT","Poor",38.9,1.34,6.29,10,1.43,4.29,0,297,"8/23/2016"
2007722,"NLA06608-0291",2007,1,"7/11/2007","PLAINS","PLNLOW","TPL","Good",48.7,6.64,1.64,5.29,7.77,6,1.87,300,"8/23/2016"
2007723,"NLA06608-0293",2007,1,"7/25/2007","EHIGH","EHIGH","NAP","Poor",20.6,2.1,5.71,0,0,3.33,1.25,300,"8/23/2016"
2007724,"NLA06608-0294",2007,1,"6/26/2007","EHIGH","EHIGH","NAP","Good",51.4,4.21,3.01,5.26,10,5.83,2.5,300,"8/23/2016"
2007725,"NLA06608-0295",2007,1,"6/26/2007","PLAINS","PLNLOW","TPL","Poor",27.6,7.44,0,0,7.62,1,0.51,300,"8/23/2016"
2007726,"NLA06608-0297",2007,1,"7/24/2007","CPL","PLNLOW","CPL","Good",70.3,9.64,10,4.71,8,2.86,6.96,300,"8/23/2016"
2007727,"NLA06608-0299",2007,1,"7/30/2007","UMW","PLNLOW","UMW","Fair",52.2,7.13,6.72,6.04,4.55,6.67,0.21,300,"8/23/2016"
2007729,"NLA06608-0302",2007,1,"6/23/2007","PLAINS","PLNLOW","TPL","Not Assessed",NA,NA,NA,NA,NA,NA,NA,18,"8/23/2016"
2007730,"NLA06608-0303",2007,1,"8/7/2007","PLAINS","PLNLOW","TPL","Fair",34.2,5.3,1.6,5.88,2.06,4,1.69,300,"8/23/2016"
2007731,"NLA06608-0306",2007,1,"7/16/2007","WMTNS","WMTNS","XER","Poor",29.4,1.7,5.45,4,1.43,2.86,2.22,300,"8/23/2016"
2007732,"NLA06608-0312",2007,1,"7/16/2007","PLAINS","PLNLOW","TPL","Good",41.5,4.06,4.63,8.24,4.8,3,0.17,300,"8/23/2016"
2007733,"NLA06608-0313",2007,1,"7/13/2007","CPL","PLNLOW","CPL","Fair",51.3,5.73,3.54,5.29,10,4.29,1.96,300,"8/23/2016"
2007734,"NLA06608-0318",2007,1,"7/20/2007","UMW","PLNLOW","UMW","Fair",53.1,2.27,9.47,9.58,3.64,6.67,0.21,300,"8/23/2016"
2007735,"NLA06608-0319",2007,1,"7/22/2007","EHIGH","EHIGH","SAP","Fair",49.3,4.02,9.99,4.21,5.56,3.33,2.5,300,"8/23/2016"
2007737,"NLA06608-0324",2007,1,"8/8/2007","EHIGH","EHIGH","SAP","Good",76.1,8.49,7.08,6.32,10,7.5,6.25,300,"8/23/2016"
2007738,"NLA06608-0325",2007,1,"7/17/2007","CPL","PLNLOW","CPL","Poor",27.6,3.83,3.25,1.18,3,2.86,2.47,300,"8/23/2016"
2007739,"NLA06608-0326",2007,1,"8/16/2007","EHIGH","EHIGH","NAP","Good",72.4,3.72,10,10,8.89,5.83,5,300,"8/23/2016"
2007740,"NLA06608-0327",2007,1,"6/27/2007","CPL","PLNLOW","CPL","Fair",49,4.85,1.39,5.88,6,10,1.27,300,"8/23/2016"
2007741,"NLA06608-0328",2007,1,"8/25/2007","CPL","PLNLOW","CPL","Fair",45.4,3.32,5.49,5.29,8,1.43,3.68,300,"8/23/2016"
2007742,"NLA06608-0328",2007,2,"9/15/2007","CPL","PLNLOW","CPL","Poor",39,4.2,1.03,4.12,6,7.14,0.92,300,"8/23/2016"
2007743,"NLA06608-0330",2007,1,"9/5/2007","UMW","PLNLOW","UMW","Poor",32.5,3.47,6.39,0,1.82,3.33,4.5,300,"8/23/2016"
2007745,"NLA06608-0333",2007,1,"7/24/2007","EHIGH","EHIGH","SAP","Poor",27.9,0.68,3.55,5.26,2.22,5,0,300,"8/23/2016"
2007746,"NLA06608-0334",2007,1,"6/27/2007","PLAINS","PLNLOW","TPL","Fair",30.9,4.44,1.48,4.71,5.24,2,0.68,300,"8/23/2016"
2007748,"NLA06608-0337",2007,1,"7/12/2007","WMTNS","WMTNS","WMT","Good",61.3,7.96,9.78,8,2.86,2.86,5.33,300,"8/23/2016"
2007749,"NLA06608-0339",2007,1,"6/25/2007","PLAINS","PLNLOW","NPL","Good",44,10,10,0,6.43,0,0,300,"8/23/2016"
2007750,"NLA06608-0340",2007,1,"6/21/2007","WMTNS","WMTNS","WMT","Poor",40.9,2.39,6.18,6,2.86,2.86,4.24,300,"8/23/2016"
2007753,"NLA06608-0343",2007,1,"8/21/2007","PLAINS","PLNLOW","TPL","Not Assessed",NA,NA,NA,NA,NA,NA,NA,89,"8/23/2016"
2007754,"NLA06608-0344",2007,1,"7/5/2007","PLAINS","PLNLOW","TPL","Fair",35.4,5.77,1.09,2.94,2.14,3,6.27,300,"8/23/2016"
2007755,"NLA06608-0345",2007,1,"6/21/2007","EHIGH","EHIGH","SAP","Fair",42.6,1,8.12,4.21,5.56,4.17,2.5,300,"8/23/2016"
2007756,"NLA06608-0350",2007,1,"8/9/2007","UMW","PLNLOW","UMW","Fair",50.5,0.72,9.81,8.12,4.55,3.33,3.74,300,"8/23/2016"
2007757,"NLA06608-0354",2007,1,"7/19/2007","EHIGH","EHIGH","NAP","Good",57.2,6.62,6.59,7.89,4.44,5,3.75,300,"8/23/2016"
2007758,"NLA06608-0356",2007,1,"7/16/2007","PLAINS","PLNLOW","SPL","Fair",37.7,4.08,4.43,2.94,3.96,6,1.18,300,"8/23/2016"
2007759,"NLA06608-0357",2007,1,"7/27/2007","EHIGH","EHIGH","NAP","Fair",43.5,9.01,6.53,2.63,3.33,0.83,3.75,300,"8/23/2016"
2007760,"NLA06608-0358",2007,1,"7/17/2007","EHIGH","EHIGH","NAP","Good",86.2,8.49,8.81,10,7.78,6.67,10,300,"8/23/2016"
2007762,"NLA06608-0361",2007,1,"7/15/2007","EHIGH","EHIGH","SAP","Not Assessed",NA,NA,NA,NA,NA,NA,NA,32,"8/23/2016"
2007763,"NLA06608-0363",2007,1,"7/21/2007","UMW","PLNLOW","UMW","Poor",42.4,2.91,7.44,5.35,2.73,6.67,0.36,300,"8/23/2016"
2007764,"NLA06608-0366",2007,1,"7/31/2007","UMW","PLNLOW","UMW","Fair",50.4,0.76,7.03,9.31,3.64,6.67,2.85,300,"8/23/2016"
2007765,"NLA06608-0367",2007,1,"8/23/2007","EHIGH","EHIGH","NAP","Poor",28.3,1.89,4.62,6.32,3.33,0.83,0,300,"8/23/2016"
2007766,"NLA06608-0369",2007,1,"7/26/2007","EHIGH","EHIGH","NAP","Good",67.8,5.77,8.36,4.74,8.89,4.17,8.75,263,"8/23/2016"
2007767,"NLA06608-0372",2007,1,"8/3/2007","PLAINS","PLNLOW","SPL","Good",50.6,4.78,3.36,2.35,9.49,8,2.37,300,"8/23/2016"
2007768,"NLA06608-0373",2007,1,"7/12/2007","WMTNS","WMTNS","WMT","Poor",38.1,4.94,7.75,4,4.29,0,1.87,300,"8/23/2016"
2007769,"NLA06608-0376",2007,1,"8/22/2007","PLAINS","PLNLOW","SPL","Fair",37.5,6.43,1.29,4.71,0,7,3.08,165,"8/23/2016"
2007770,"NLA06608-0377",2007,1,"7/12/2007","EHIGH","EHIGH","SAP","Poor",15.7,1.8,4.57,0,2.22,0.83,0,300,"8/23/2016"
2007771,"NLA06608-0378",2007,1,"6/26/2007","PLAINS","PLNLOW","NPL","Fair",38.2,1.94,6.43,3.53,2.63,5,3.39,300,"8/23/2016"
2007772,"NLA06608-0384",2007,1,"6/28/2007","PLAINS","PLNLOW","NPL","Good",42,3.75,0.82,1.76,6.43,7,5.42,300,"8/23/2016"
2007773,"NLA06608-0385",2007,1,"7/6/2007","PLAINS","PLNLOW","NPL","Fair",31.2,1.91,4.62,3.53,3.1,4,1.53,300,"8/23/2016"
2007774,"NLA06608-0386",2007,1,"8/7/2007","EHIGH","EHIGH","SAP","Good",86.2,7.25,10,7.37,10,8.33,8.75,300,"8/23/2016"
2007775,"NLA06608-0388",2007,1,"8/16/2007","EHIGH","EHIGH","SAP","Good",56.3,7.59,4.03,5.79,5.56,5.83,5,251,"8/23/2016"
2007778,"NLA06608-0393",2007,1,"7/23/2007","WMTNS","WMTNS","XER","Poor",27.5,0.81,7.13,0,2.86,4.29,1.41,300,"8/23/2016"
2007780,"NLA06608-0399",2007,1,"7/16/2007","UMW","PLNLOW","UMW","Poor",35.8,3.39,6.65,4.17,3.64,3.33,0.28,300,"8/23/2016"
2007781,"NLA06608-0401",2007,1,"8/27/2007","EHIGH","EHIGH","NAP","Fair",46.7,1.23,2.98,4.21,6.67,6.67,6.25,300,"8/23/2016"
2007782,"NLA06608-0402",2007,1,"6/26/2007","WMTNS","WMTNS","WMT","Good",54.8,6.51,9.27,4,8.57,2.86,1.67,300,"8/23/2016"
2007783,"NLA06608-0402",2007,2,"9/6/2007","WMTNS","WMTNS","WMT","Fair",48.8,3.41,7.98,6,7.14,1.43,3.33,300,"8/23/2016"
2007784,"NLA06608-0403",2007,1,"8/6/2007","UMW","PLNLOW","UMW","Not Assessed",NA,NA,NA,NA,NA,NA,NA,30,"8/23/2016"
2007785,"NLA06608-0405",2007,1,"8/30/2007","EHIGH","EHIGH","NAP","Good",78.4,7.21,9.39,6.84,7.78,5.83,10,300,"8/23/2016"
2007786,"NLA06608-0406",2007,1,"8/21/2007","WMTNS","WMTNS","WMT","Fair",54.5,4.81,4.1,10,2.86,4.29,6.67,300,"8/23/2016"
2007787,"NLA06608-0407",2007,1,"7/23/2007","PLAINS","PLNLOW","TPL","Poor",16.4,4.23,0,1.76,2.86,1,0,300,"8/23/2016"
2007788,"NLA06608-0408",2007,1,"6/20/2007","PLAINS","PLNLOW","SPL","Good",52.2,5.19,2.33,4.12,7.77,6,5.93,300,"8/23/2016"
2007789,"NLA06608-0413",2007,1,"6/27/2007","EHIGH","EHIGH","SAP","Poor",8.9,0,5.36,0,0,0,0,300,"8/23/2016"
2007791,"NLA06608-0418",2007,1,"7/19/2007","EHIGH","EHIGH","NAP","Good",73.4,2.22,8.8,8.42,10,8.33,6.25,300,"8/23/2016"
2007792,"NLA06608-0421",2007,1,"6/28/2007","EHIGH","EHIGH","NAP","Poor",26.2,0.39,1.39,3.68,4.44,3.33,2.5,300,"8/23/2016"
2007793,"NLA06608-0425",2007,1,"8/1/2007","WMTNS","WMTNS","WMT","Poor",37.3,4.94,6.24,6,1.43,1.43,2.33,300,"8/23/2016"
2007794,"NLA06608-0426",2007,1,"9/17/2007","UMW","PLNLOW","UMW","Poor",43.9,2.58,3.65,5.57,0.91,6.67,6.96,138,"8/23/2016"
2007795,"NLA06608-0432",2007,1,"7/16/2007","CPL","PLNLOW","CPL","Fair",47,8.82,3.76,4.71,2,1.43,7.47,300,"8/23/2016"
2007797,"NLA06608-0435",2007,1,"7/23/2007","UMW","PLNLOW","UMW","Poor",38.5,3.19,4.94,5.49,2.73,3.33,3.4,300,"8/23/2016"
2007798,"NLA06608-0436",2007,1,"9/5/2007","EHIGH","EHIGH","SAP","Good",62.3,1.23,6.73,7.89,7.78,7.5,6.25,300,"8/23/2016"
2007799,"NLA06608-0439",2007,1,"6/27/2007","PLAINS","PLNLOW","NPL","Poor",3.8,0,0,1.18,1.07,0,0,300,"8/23/2016"
2007800,"NLA06608-0440",2007,1,"8/8/2007","PLAINS","PLNLOW","SPL","Good",44.4,4.62,3.67,8.82,3.21,6,0.34,300,"8/23/2016"
2007801,"NLA06608-0442",2007,1,"8/14/2007","PLAINS","PLNLOW","NPL","Fair",29.7,10,0,0.59,5.24,2,0,300,"8/23/2016"
2007802,"NLA06608-0444",2007,1,"7/12/2007","CPL","PLNLOW","CPL","Fair",50.3,7.99,5.31,4.71,5,4.29,2.87,300,"8/23/2016"
2007803,"NLA06608-0445",2007,1,"6/28/2007","EHIGH","EHIGH","SAP","Poor",16.8,3.64,0.69,2.11,1.11,2.5,0,300,"8/23/2016"
2007804,"NLA06608-0447",2007,1,"8/25/2007","EHIGH","EHIGH","SAP","Good",72.7,5.36,5.58,9.47,7.78,9.17,6.25,300,"8/23/2016"
2007805,"NLA06608-0449",2007,1,"7/26/2007","WMTNS","WMTNS","WMT","Fair",45.8,7.79,7.53,6,2.86,0,3.33,300,"8/23/2016"
2007806,"NLA06608-0452",2007,1,"6/15/2007","PLAINS","PLNLOW","SPL","Poor",26.9,0.95,4.04,4.12,4.54,2,0.51,300,"8/23/2016"
2007807,"NLA06608-0453",2007,1,"7/31/2007","CPL","PLNLOW","CPL","Good",57.6,6.85,4.69,4.71,7,5.71,5.58,300,"8/23/2016"
2007808,"NLA06608-0454",2007,1,"7/25/2007","EHIGH","EHIGH","NAP","Good",55.8,2.12,8.31,7.89,5.56,5.83,3.75,300,"8/23/2016"
2007810,"NLA06608-0458",2007,1,"7/25/2007","CPL","PLNLOW","CPL","Good",67.2,5.31,7.02,5.29,10,5.71,7.01,300,"8/23/2016"
2007811,"NLA06608-0459",2007,1,"7/16/2007","EHIGH","EHIGH","SAP","Fair",39.5,3.54,8.23,2.63,5.56,2.5,1.25,300,"8/23/2016"
2007812,"NLA06608-0462",2007,1,"8/20/2007","UMW","PLNLOW","UMW","Good",74.7,10,5.73,9.58,5.45,6.67,7.4,300,"8/23/2016"
2007813,"NLA06608-0463",2007,1,"8/19/2007","PLAINS","PLNLOW","TPL","Not Assessed",NA,NA,NA,NA,NA,NA,NA,75,"8/23/2016"
2007815,"NLA06608-0467",2007,1,"7/9/2007","PLAINS","PLNLOW","TPL","Good",47.8,2.59,8.75,5.88,4.08,6,1.36,300,"8/23/2016"
2007816,"NLA06608-0468",2007,1,"8/1/2007","WMTNS","WMTNS","WMT","Good",57.3,5.49,6.52,10,5.71,0,6.67,300,"8/23/2016"
2007817,"NLA06608-0469",2007,1,"8/29/2007","EHIGH","EHIGH","NAP","Good",81.8,4.75,9.19,6.84,10,8.33,10,300,"8/23/2016"
2007818,"NLA06608-0470",2007,1,"7/24/2007","EHIGH","EHIGH","NAP","Good",82.3,5.69,9.52,10,10,6.67,7.5,300,"8/23/2016"
2007819,"NLA06608-0471",2007,1,"6/25/2007","PLAINS","PLNLOW","TPL","Good",47,9.83,0,4.12,10,3,1.26,121,"8/23/2016"
2007820,"NLA06608-0472",2007,1,"7/16/2007","EHIGH","EHIGH","SAP","Poor",23.6,1.32,0,3.68,3.33,5.83,0,300,"8/23/2016"
2007821,"NLA06608-0473",2007,1,"6/19/2007","EHIGH","EHIGH","SAP","Poor",18.7,0.86,2.05,5.79,0,0,2.5,300,"8/23/2016"
2007822,"NLA06608-0479",2007,1,"8/16/2007","PLAINS","PLNLOW","TPL","Good",63.6,3.36,2.24,6.47,6.1,10,10,300,"8/23/2016"
2007823,"NLA06608-0480",2007,1,"8/24/2007","EHIGH","EHIGH","SAP","Fair",47.2,3.13,4.42,5.79,6.67,3.33,5,300,"8/23/2016"
2007824,"NLA06608-0480",2007,2,"9/25/2007","EHIGH","EHIGH","SAP","Fair",40.8,1.96,4.03,5.26,4.44,5,3.75,300,"8/23/2016"
2007826,"NLA06608-0484",2007,1,"7/12/2007","CPL","PLNLOW","CPL","Poor",29,9.42,0.8,1.76,4,1.43,0,300,"8/23/2016"
2007827,"NLA06608-0488",2007,1,"7/19/2007","PLAINS","PLNLOW","SPL","Good",46.5,1.67,4.83,5.88,7.62,3,4.92,300,"8/23/2016"
2007828,"NLA06608-0489",2007,1,"7/10/2007","EHIGH","EHIGH","SAP","Poor",5.8,2.24,0.17,1.05,0,0,0,300,"8/23/2016"
2007830,"NLA06608-0491",2007,1,"7/17/2007","UMW","PLNLOW","UMW","Poor",32.5,1.91,5.55,5.56,1.82,3.33,1.31,300,"8/23/2016"
2007831,"NLA06608-0493",2007,1,"7/11/2007","EHIGH","EHIGH","SAP","Poor",18.3,2.02,0,1.05,3.33,3.33,1.25,300,"8/23/2016"
2007832,"NLA06608-0494",2007,1,"7/11/2007","UMW","PLNLOW","UMW","Fair",48.4,1.2,8,6.6,5.45,6.67,1.15,300,"8/23/2016"
2007833,"NLA06608-0495",2007,1,"9/5/2007","WMTNS","WMTNS","WMT","Poor",33.6,1.32,4.49,6,2.86,1.43,4.06,300,"8/23/2016"
2007834,"NLA06608-0496",2007,1,"6/23/2007","PLAINS","PLNLOW","NPL","Fair",37.1,9.65,0,0.59,10,2,0,300,"8/23/2016"
2007835,"NLA06608-0497",2007,1,"8/17/2007","WMTNS","WMTNS","XER","Poor",17.6,0.26,4.55,2,0,1.43,2.33,300,"8/23/2016"
2007836,"NLA06608-0498",2007,1,"7/31/2007","EHIGH","EHIGH","NAP","Poor",23.7,0.07,1.1,5.26,4.44,3.33,0,300,"8/23/2016"
2007837,"NLA06608-0500",2007,1,"9/14/2007","EHIGH","EHIGH","SAP","Poor",33.5,2.87,3.7,3.68,4.44,1.67,3.75,300,"8/23/2016"
2007838,"NLA06608-0501",2007,1,"7/24/2007","WMTNS","WMTNS","WMT","Poor",36.3,3.45,8.2,0,1.43,2.86,5.83,300,"8/23/2016"
2007839,"NLA06608-0502",2007,1,"8/18/2007","UMW","PLNLOW","UMW","Poor",37.5,0.8,3.38,8.2,0.91,6.67,2.55,300,"8/23/2016"
