"UID","SITE_ID","YEAR","VISIT_NO","DATE_COL","ECO_BIO","AGGR_ECO3_2015","AGGR_ECO9_2015","AMPHNIND","AMPHNTAX","AMPHPIND","AMPHPTAX","BURRNIND","BURRNTAX","BURRPIND","BURRPTAX","CHIRDOM1PIND","CHIRDOM3PIND","CHIRDOM5PIND","CHIRNIND","CHIRNTAX","CHIRPIND","CHIRPTAX","CLMBNIND","CLMBNTAX","CLMBPIND","CLMBPTAX","CLNGNIND","CLNGNTAX","CLNGPIND","CLNGPTAX","COFININD","COFINTAX","COFIPIND","COFIPTAX","COFITRICNIND","COFITRICNTAX","COFITRICPIND","COFITRICPTAX","COGANIND","COGANTAX","COGAPIND","COGAPTAX","CRUSNIND","CRUSNTAX","CRUSPIND","CRUSPTAX","DIPTNIND","DIPTNTAX","DIPTPIND","DIPTPTAX","DOM1PIND","DOM3PIND","DOM5PIND","EPHENIND","EPHENTAX","EPHEPIND","EPHEPTAX","EPOTNIND","EPOTNTAX","EPOTPIND","EPOTPTAX","EPT_NIND","EPT_NTAX","EPT_PIND","EPT_PTAX","FACLNIND","FACLNTAX","FACLPIND","FACLPTAX","HEMININD","HEMINTAX","HEMIPIND","HEMIPTAX","HPRIME","INTLNIND","INTLNTAX","INTLPIND","INTLPTAX","MITENIND","MITENTAX","MITEPIND","MITEPTAX","MOLLNIND","MOLLNTAX","MOLLPIND","MOLLPTAX","NOINNIND","NOINNTAX","NOINPIND","NOINPTAX","NTOLNIND","NTOLNTAX","NTOLPIND","NTOLPTAX","ODONNIND","ODONNTAX","ODONPIND","ODONPTAX","OLLENIND","OLLENTAX","OLLEPIND","OLLEPTAX","ORTHCHIRPIND","ORTHNIND","ORTHNTAX","ORTHPIND","ORTHPTAX","PLECNIND","PLECNTAX","PLECPIND","PLECPTAX","PREDNIND","PREDNTAX","PREDPIND","PREDPTAX","SCRPNIND","SCRPNTAX","SCRPPIND","SCRPPTAX","SHRDNIND","SHRDNTAX","SHRDPIND","SHRDPTAX","SPWLNIND","SPWLNTAX","SPWLPIND","SPWLPTAX","STOLNIND","STOLNTAX","STOLPIND","STOLPTAX","SWIMNIND","SWIMNTAX","SWIMPIND","SWIMPTAX","TANYNIND","TANYNTAX","TANYPIND","TANYPTAX","TL01NIND","TL01NTAX","TL01PIND","TL01PTAX","TL23NIND","TL23NTAX","TL23PIND","TL23PTAX","TL45NIND","TL45NTAX","TL45PIND","TL45PTAX","TL67NIND","TL67NTAX","TL67PIND","TL67PTAX","TL89NIND","TL89NTAX","TL89PIND","TL89PTAX","TOLRNIND","TOLRNTAX","TOLRPIND","TOLRPTAX","TOTLNIND","TOTLNTAX","TRICNIND","TRICNTAX","TRICPIND","TRICPTAX","TUBINAIDNIND","TUBINAIDNTAX","TUBINAIDPIND","TUBINAIDPTAX","WTD_TV"
2007610,"NLA06608-0129",2007,1,"7/21/2007","WMTNS","WMTNS","WMT",97,2,32.33,4.65,46,11,15.33,25.58,25.58,47.67,60.47,87,17,29,39.53,23,8,7.67,18.6,37,7,12.33,16.28,13,4,4.33,9.3,0,0,0,0,233,24,77.67,55.81,112,4,37.33,9.3,87,17,29,39.53,29.27,42.86,53.31,60,5,20,11.63,78,10,26,23.26,64,6,21.33,13.95,97,17,32.33,39.53,0,0,0,0,2.91,24,3,8,6.98,3,1,1,2.33,6,4,2,9.3,133,15,44.33,34.88,107,15,35.67,34.88,14,4,4.67,9.3,12,6,4,13.95,33.33,29,4,9.67,9.3,0,0,0,0,35,11,11.67,25.58,19,4,6.33,9.3,103,4,34.33,9.3,157,16,52.33,37.21,53,13,17.67,30.23,33,2,11,4.65,14,4,4.67,9.3,16,1,5.33,2.33,13,4,4.33,9.3,78,10,26,23.26,122,12,40.67,27.91,53,13,17.67,30.23,161,20,53.67,46.51,300,43,4,1,1.33,2.33,5,2,1.67,4.65,5.84
2007611,"NLA06608-0129",2007,2,"9/16/2007","WMTNS","WMTNS","WMT",29,2,9.67,12.5,31,3,10.33,18.75,82.46,97.66,100,171,4,57,25,7,1,2.33,6.25,59,3,19.67,18.75,12,2,4,12.5,8,1,2.67,6.25,268,10,89.33,62.5,38,3,12.67,18.75,181,5,60.33,31.25,54.65,71.71,79.07,64,5,21.33,31.25,79,7,26.33,43.75,72,6,24,37.5,201,9,67,56.25,0,0,0,0,1.8,48,1,16,6.25,0,0,0,0,0,0,0,0,40,4,13.33,25,228,7,76,43.75,7,1,2.33,6.25,2,1,0.67,6.25,82.46,141,1,47,6.25,0,0,0,0,25,4,8.33,25,5,1,1.67,6.25,29,2,9.67,12.5,204,8,68,50,12,2,4,12.5,9,2,3,12.5,0,0,0,0,6,1,2,6.25,42,0,14,0,180,6,60,37.5,54,6,18,37.5,12,2,4,12.5,45,5,15,31.25,300,16,8,1,2.67,6.25,0,0,0,0,4.34
2007612,"NLA06608-0130",2007,1,"8/13/2007","WMTNS","WMTNS","XER",160,1,53.33,4.55,16,3,5.33,13.64,54.17,91.67,100,24,5,8,22.73,98,8,32.67,36.36,9,3,3,13.64,1,1,0.33,4.55,0,0,0,0,169,6,56.33,27.27,160,1,53.33,4.55,25,6,8.33,27.27,55.36,79.24,86.85,0,0,0,0,57,4,19,18.18,5,2,1.67,9.09,45,8,15,36.36,0,0,0,0,1.68,0,0,0,0,4,3,1.33,13.64,40,4,13.33,18.18,218,12,72.67,54.55,28,5,9.33,22.73,52,2,17.33,9.09,3,2,1,9.09,0,0,0,0,0,0,0,0,0,77,10,25.67,45.45,40,4,13.33,18.18,161,2,53.67,9.09,193,9,64.33,40.91,9,7,3,31.82,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.33,4.55,27,4,9,18.18,249,8,83,36.36,9,7,3,31.82,241,12,80.33,54.55,300,22,5,2,1.67,9.09,3,2,1,9.09,6.88
2007613,"NLA06608-0132",2007,1,"8/28/2007","WMTNS","WMTNS","WMT",68,1,22.67,8.33,93,7,31,58.33,82,99.33,100,150,4,50,33.33,127,3,42.33,25,0,0,0,0,123,1,41,8.33,0,0,0,0,284,9,94.67,75,68,1,22.67,8.33,166,6,55.33,50,49,82.07,92.43,2,1,0.67,8.33,3,2,1,16.67,2,1,0.67,8.33,141,4,47,33.33,0,0,0,0,1.5,0,0,0,0,0,0,0,0,3,1,1,8.33,131,4,43.67,33.33,3,2,1,16.67,1,1,0.33,8.33,60,2,20,16.67,0,0,0,0,0,0,0,0,0,28,3,9.33,25,3,1,1,8.33,68,1,22.67,8.33,95,3,31.67,25,75,4,25,33.33,0,0,0,0,123,1,41,8.33,0,0,0,0,0,0,0,0,3,2,1,16.67,222,6,74,50,75,4,25,33.33,159,8,53,66.67,300,12,0,0,0,0,60,2,20,16.67,7.13
2007614,"NLA06608-0134",2007,1,"7/24/2007","EHIGH","EHIGH","NAP",29,1,9.67,3.12,34,6,11.33,18.75,29.46,63.39,83.93,118,14,39.33,43.75,99,8,33,25,36,6,12,18.75,59,4,19.67,12.5,0,0,0,0,150,17,50,53.12,29,1,9.67,3.12,124,15,41.33,46.88,23.55,46.38,65.22,33,2,11,6.25,46,6,15.33,18.75,45,5,15,15.62,151,14,50.33,43.75,0,0,0,0,2.64,77,6,25.67,18.75,8,3,2.67,9.38,87,3,29,9.38,130,11,43.33,34.38,159,13,53,40.62,1,1,0.33,3.12,5,3,1.67,9.38,47.46,56,4,18.67,12.5,0,0,0,0,29,9,9.67,28.12,69,3,23,9.38,55,6,18.33,18.75,116,10,38.67,31.25,32,7,10.67,21.88,7,3,2.33,9.38,39,3,13,9.38,0,0,0,0,79,7,26.33,21.88,80,6,26.67,18.75,109,12,36.33,37.5,32,7,10.67,21.88,72,12,24,37.5,300,32,12,3,4,9.38,5,3,1.67,9.38,5.2
2007615,"NLA06608-0137",2007,1,"9/17/2007","WMTNS","WMTNS","WMT",1,1,0.33,3.12,40,7,13.33,21.88,40.62,62.5,75,100,15,33.33,46.88,28,5,9.33,15.62,97,5,32.33,15.62,11,4,3.67,12.5,1,1,0.33,3.12,185,16,61.67,50,1,1,0.33,3.12,100,15,33.33,46.88,18.22,38.32,51.4,15,1,5,3.12,25,4,8.33,12.5,25,4,8.33,12.5,88,11,29.33,34.38,0,0,0,0,2.92,12,3,4,9.38,24,4,8,12.5,18,2,6,6.25,175,13,58.33,40.62,62,11,20.67,34.38,0,0,0,0,117,5,39,15.62,60,60,6,20,18.75,0,0,0,0,55,9,18.33,28.12,19,3,6.33,9.38,62,5,20.67,15.62,75,10,25,31.25,127,11,42.33,34.38,7,2,2.33,6.25,6,2,2,6.25,0,0,0,0,17,4,5.67,12.5,45,7,15,21.88,97,9,32.33,28.12,127,11,42.33,34.38,186,17,62,53.12,300,32,10,3,3.33,9.38,117,5,39,15.62,6.77
2007616,"NLA06608-0139",2007,1,"7/11/2007","UMW","PLNLOW","UMW",168,1,56,5.26,3,2,1,10.53,42.86,71.43,100,8,5,2.67,26.32,98,9,32.67,47.37,8,2,2.67,10.53,2,2,0.67,10.53,0,0,0,0,195,6,65,31.58,168,1,56,5.26,8,5,2.67,26.32,57.14,79.25,88.1,17,1,5.67,5.26,22,3,7.33,15.79,19,2,6.33,10.53,65,9,21.67,47.37,3,2,1,10.53,1.6,0,0,0,0,0,0,0,0,91,6,30.33,31.58,267,9,89,47.37,45,6,15,31.58,3,1,1,5.26,8,2,2.67,10.53,0,0,0,0,0,0,0,0,0,11,6,3.67,31.58,92,6,30.67,31.58,171,2,57,10.53,187,4,62.33,21.05,39,2,13,10.53,5,2,1.67,10.53,1,1,0.33,5.26,0,0,0,0,0,0,0,0,45,6,15,31.58,203,7,67.67,36.84,39,2,13,10.53,222,6,74,31.58,300,19,2,1,0.67,5.26,8,2,2.67,10.53,6.81
2007617,"NLA06608-0140",2007,1,"6/20/2007","PLAINS","PLNLOW","TPL",40,1,17.39,3.03,30,9,13.04,27.27,32.14,61.9,73.81,86,18,37.39,54.55,34,7,14.78,21.21,40,7,17.39,21.21,29,2,12.61,6.06,0,0,0,0,123,12,53.48,36.36,40,1,17.39,3.03,95,19,41.3,57.58,19.73,49.78,63.68,44,1,19.13,3.03,62,4,26.96,12.12,47,3,20.43,9.09,78,12,33.91,36.36,0,0,0,0,2.72,27,1,11.74,3.03,24,6,10.43,18.18,9,3,3.91,9.09,73,10,31.74,30.3,38,8,16.52,24.24,15,1,6.52,3.03,0,0,0,0,11.63,10,2,4.35,6.06,0,0,0,0,73,15,31.74,45.45,10,4,4.35,12.12,57,6,24.78,18.18,115,8,50,24.24,52,12,22.61,36.36,12,3,5.22,9.09,28,2,12.17,6.06,0,0,0,0,27,1,11.74,3.03,11,7,4.78,21.21,140,13,60.87,39.39,52,12,22.61,36.36,125,20,54.35,60.61,230,33,3,2,1.3,6.06,0,0,0,0,6.57
2007618,"NLA06608-0141",2007,1,"8/23/2007","CPL","PLNLOW","CPL",13,1,4.33,2.5,81,9,27,22.5,21.25,48.75,65,82,16,27.33,40,141,12,47,30,30,4,10,10,19,4,6.33,10,0,0,0,0,106,13,35.33,32.5,17,2,5.67,5,87,17,29,42.5,35.06,48.71,57.93,2,1,0.67,2.5,11,5,3.67,12.5,6,3,2,7.5,185,19,61.67,47.5,2,1,0.67,2.5,2.77,2,1,0.67,2.5,3,2,1,5,112,7,37.33,17.5,199,16,66.33,40,159,13,53,32.5,5,2,1.67,5,56,4,18.67,10,0,0,0,0,0,0,0,0,0,57,17,19,42.5,113,7,37.67,17.5,41,4,13.67,10,61,14,20.33,35,85,12,28.33,30,6,3,2,7.5,12,3,4,7.5,0,0,0,0,2,1,0.67,2.5,157,12,52.33,30,54,14,18,35,85,12,28.33,30,111,19,37,47.5,300,40,4,2,1.33,5,54,3,18,7.5,6.4
2007619,"NLA06608-0142",2007,1,"8/13/2007","UMW","PLNLOW","UMW",39,1,13,2.38,102,15,34,35.71,20,50.53,72.63,103,14,34.33,33.33,24,9,8,21.43,40,9,13.33,21.43,71,4,23.67,9.52,0,0,0,0,181,20,60.33,47.62,70,2,23.33,4.76,117,16,39,38.1,15.42,39.13,52.57,37,5,12.33,11.9,44,9,14.67,21.43,40,7,13.33,16.67,120,18,40,42.86,0,0,0,0,3.01,21,3,7,7.14,6,6,2,14.29,40,4,13.33,9.52,138,16,46,38.1,56,14,18.67,33.33,4,2,1.33,4.76,22,4,7.33,9.52,0,0,0,0,0,0,0,0,0,63,17,21,40.48,7,4,2.33,9.52,44,3,14.67,7.14,139,9,46.33,21.43,117,18,39,42.86,4,4,1.33,9.52,37,3,12.33,7.14,0,0,0,0,29,6,9.67,14.29,27,8,9,19.05,125,9,41.67,21.43,117,18,39,42.86,157,20,52.33,47.62,300,42,3,2,1,4.76,22,4,7.33,9.52,6.61
2007620,"NLA06608-0144",2007,1,"8/2/2007","PLAINS","PLNLOW","SPL",3,1,1,4,212,7,70.67,28,88.73,92.49,95.31,219,11,73,44,11,5,3.67,20,5,4,1.67,16,192,2,64,8,0,0,0,0,80,10,26.67,40,3,1,1,4,223,13,74.33,52,67.02,84.4,86.88,45,2,15,8,47,4,15.67,16,47,4,15.67,16,73,12,24.33,48,0,0,0,0,1.38,1,1,0.33,4,8,3,2.67,12,1,1,0.33,4,29,7,9.67,28,17,9,5.67,36,0,0,0,0,16,2,5.33,8,0.46,1,1,0.33,4,0,0,0,0,26,10,8.67,40,3,3,1,12,197,6,65.67,24,63,8,21,32,215,7,71.67,28,5,3,1.67,12,4,2,1.33,8,0,0,0,0,1,1,0.33,4,16,8,5.33,32,68,9,22.67,36,215,7,71.67,28,226,12,75.33,48,300,25,2,2,0.67,8,16,2,5.33,8,8.43
2007621,"NLA06608-0144",2007,2,"9/13/2007","PLAINS","PLNLOW","SPL",2,1,0.67,2.7,151,12,50.33,32.43,26.62,64.29,75.32,159,17,53,45.95,53,7,17.67,18.92,26,6,8.67,16.22,93,4,31,10.81,3,1,1,2.7,212,19,70.67,51.35,4,2,1.33,5.41,168,18,56,48.65,16.53,43.95,57.66,31,1,10.33,2.7,43,5,14.33,13.51,38,3,12.67,8.11,154,17,51.33,45.95,0,0,0,0,2.92,13,3,4.33,8.11,3,3,1,8.11,2,2,0.67,5.41,85,12,28.33,32.43,65,13,21.67,35.14,5,2,1.67,5.41,76,5,25.33,13.51,4.4,7,2,2.33,5.41,0,0,0,0,39,13,13,35.14,7,4,2.33,10.81,51,5,17,13.51,60,9,20,24.32,111,9,37,24.32,5,3,1.67,8.11,58,3,19.33,8.11,0,0,0,0,13,3,4.33,8.11,52,10,17.33,27.03,116,12,38.67,32.43,111,9,37,24.32,125,14,41.67,37.84,300,37,7,2,2.33,5.41,76,5,25.33,13.51,6.64
2007622,"NLA06608-0148",2007,1,"7/26/2007","PLAINS","PLNLOW","TPL",56,1,18.67,2.78,51,12,17,33.33,41.88,68.12,80.62,162,18,54,50,39,5,13,13.89,27,5,9,13.89,10,2,3.33,5.56,0,0,0,0,109,15,36.33,41.67,57,2,19,5.56,165,19,55,52.78,23.43,53.15,65.73,0,0,0,0,9,2,3,5.56,9,2,3,5.56,75,16,25,44.44,0,0,0,0,2.66,5,3,1.67,8.33,46,7,15.33,19.44,9,1,3,2.78,125,14,41.67,38.89,68,14,22.67,38.89,0,0,0,0,12,3,4,8.33,1.23,2,1,0.67,2.78,0,0,0,0,172,18,57.33,50,4,2,1.33,5.56,70,4,23.33,11.11,179,11,59.67,30.56,142,13,47.33,36.11,17,3,5.67,8.33,3,2,1,5.56,0,0,0,0,5,3,1.67,8.33,63,11,21,30.56,89,9,29.67,25,142,13,47.33,36.11,219,17,73,47.22,300,36,9,2,3,5.56,7,2,2.33,5.56,7.34
2007623,"NLA06608-0149",2007,1,"7/18/2007","EHIGH","EHIGH","NAP",71,2,23.67,4.65,25,11,8.33,25.58,18.46,49.23,63.08,68,19,22.67,44.19,104,8,34.67,18.6,48,7,16,16.28,14,4,4.67,9.3,0,0,0,0,103,16,34.33,37.21,71,2,23.67,4.65,72,21,24,48.84,29.25,59.52,68.03,1,1,0.33,2.33,52,8,17.33,18.6,38,5,12.67,11.63,82,18,27.33,41.86,0,0,0,0,2.58,15,3,5,6.98,4,4,1.33,9.3,88,2,29.33,4.65,172,13,57.33,30.23,83,15,27.67,34.88,14,3,4.67,6.98,8,4,2.67,9.3,5.88,4,2,1.33,4.65,0,0,0,0,91,19,30.33,44.19,101,3,33.67,6.98,84,8,28,18.6,140,17,46.67,39.53,31,13,10.33,30.23,4,1,1.33,2.33,11,2,3.67,4.65,0,0,0,0,23,5,7.67,11.63,60,10,20,23.26,179,12,59.67,27.91,31,13,10.33,30.23,196,19,65.33,44.19,300,43,37,4,12.33,9.3,3,2,1,4.65,6.54
2007624,"NLA06608-0150",2007,1,"8/2/2007","EHIGH","EHIGH","NAP",46,1,15.33,2.13,50,12,16.67,25.53,27.91,53.49,72.09,99,16,33,34.04,78,13,26,27.66,51,7,17,14.89,40,5,13.33,10.64,0,0,0,0,187,20,62.33,42.55,56,2,18.67,4.26,103,17,34.33,36.17,16.85,35.53,51.28,26,2,8.67,4.26,44,8,14.67,17.02,38,6,12.67,12.77,122,21,40.67,44.68,6,1,2,2.13,3.16,35,2,11.67,4.26,10,6,3.33,12.77,36,5,12,10.64,144,19,48,40.43,96,16,32,34.04,6,2,2,4.26,42,6,14,12.77,14.14,14,3,4.67,6.38,0,0,0,0,40,15,13.33,31.91,34,4,11.33,8.51,72,8,24,17.02,114,12,38,25.53,67,15,22.33,31.91,15,4,5,8.51,50,5,16.67,10.64,0,0,0,0,40,3,13.33,6.38,56,13,18.67,27.66,126,12,42,25.53,67,15,22.33,31.91,132,20,44,42.55,300,47,12,4,4,8.51,33,4,11,8.51,5.99
2007625,"NLA06608-0152",2007,1,"7/17/2007","PLAINS","PLNLOW","SPL",0,0,0,0,11,2,21.15,11.11,38.89,94.44,100,18,4,34.62,22.22,13,6,25,33.33,22,5,42.31,27.78,13,3,25,16.67,2,1,3.85,5.56,2,2,3.85,11.11,0,0,0,0,18,4,34.62,22.22,15.38,40.38,59.62,1,1,1.92,5.56,7,5,13.46,27.78,6,4,11.54,22.22,20,11,38.46,61.11,1,1,1.92,5.56,2.59,0,0,0,0,20,5,38.46,27.78,4,1,7.69,5.56,24,6,46.15,33.33,19,10,36.54,55.56,1,1,1.92,5.56,0,0,0,0,0,0,0,0,0,0,0,0,0,25,9,48.08,50,0,0,0,0,19,5,36.54,27.78,4,3,7.69,16.67,32,7,61.54,38.89,13,5,25,27.78,0,0,0,0,0,0,0,0,0,0,0,0,19,10,36.54,55.56,1,1,1.92,5.56,32,7,61.54,38.89,32,7,61.54,38.89,52,18,5,3,9.62,16.67,0,0,0,0,7.2
2007626,"NLA06608-0153",2007,1,"8/30/2007","EHIGH","EHIGH","SAP",1,1,0.33,2.63,97,8,32.33,21.05,22.78,58.86,79.75,166,15,55.33,39.47,34,8,11.33,21.05,53,7,17.67,18.42,48,2,16,5.26,15,1,5,2.63,184,17,61.33,44.74,1,1,0.33,2.63,184,17,61.33,44.74,13.14,36.86,55.47,37,3,12.33,7.89,60,9,20,23.68,57,7,19,18.42,148,15,49.33,39.47,0,0,0,0,2.93,67,3,22.33,7.89,15,5,5,13.16,14,2,4.67,5.26,55,11,18.33,28.95,143,14,47.67,36.84,3,2,1,5.26,25,3,8.33,7.89,24.1,40,3,13.33,7.89,0,0,0,0,57,16,19,42.11,15,3,5,7.89,9,3,3,7.89,116,13,38.67,34.21,47,11,15.67,28.95,4,3,1.33,7.89,33,1,11,2.63,0,0,0,0,68,4,22.67,10.53,75,10,25,26.32,107,11,35.67,28.95,47,11,15.67,28.95,82,18,27.33,47.37,300,38,20,4,6.67,10.53,25,3,8.33,7.89,5.25
2007627,"NLA06608-0155",2007,1,"7/31/2007","PLAINS","PLNLOW","TPL",0,0,0,0,3,2,25,33.33,40,80,100,11,5,91.67,83.33,1,1,8.33,16.67,4,2,33.33,33.33,1,1,8.33,16.67,0,0,0,0,6,2,50,33.33,0,0,0,0,11,5,91.67,83.33,36.36,72.73,90.91,0,0,0,0,0,0,0,0,0,0,0,0,2,1,16.67,16.67,0,0,0,0,1.59,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8.33,16.67,2,1,16.67,16.67,0,0,0,0,1,1,8.33,16.67,45.45,5,1,41.67,16.67,0,0,0,0,1,1,8.33,16.67,0,0,0,0,9,4,75,66.67,1,1,8.33,16.67,6,4,50,66.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,16.67,16.67,4,1,33.33,16.67,6,4,50,66.67,10,5,83.33,83.33,12,6,0,0,0,0,1,1,8.33,16.67,7.47
2007629,"NLA06608-0161",2007,1,"8/15/2007","CPL","PLNLOW","CPL",12,1,4,3.45,121,6,40.33,20.69,43.23,96.35,98.44,192,8,64,27.59,31,9,10.33,31.03,109,4,36.33,13.79,84,2,28,6.9,0,0,0,0,73,9,24.33,31.03,21,4,7,13.79,192,8,64,27.59,28.33,63.14,74.4,4,1,1.33,3.45,30,5,10,17.24,19,4,6.33,13.79,32,10,10.67,34.48,0,0,0,0,2.32,23,2,7.67,6.9,19,4,6.33,13.79,4,4,1.33,13.79,78,16,26,55.17,53,11,17.67,37.93,11,1,3.67,3.45,31,3,10.33,10.34,0.52,1,1,0.33,3.45,0,0,0,0,41,8,13.67,27.59,11,5,3.67,17.24,183,5,61,17.24,29,7,9.67,24.14,194,9,64.67,31.03,17,3,5.67,10.34,1,1,0.33,3.45,22,1,7.33,3.45,6,2,2,6.9,25,8,8.33,27.59,22,5,7.33,17.24,194,9,64.67,31.03,214,13,71.33,44.83,300,29,15,3,5,10.34,31,3,10.33,10.34,6.6
2007630,"NLA06608-0162",2007,1,"8/28/2007","EHIGH","EHIGH","NAP",109,1,36.33,2.56,38,9,12.67,23.08,19.1,40.45,55.06,123,21,41,53.85,29,6,9.67,15.38,40,8,13.33,20.51,18,6,6,15.38,1,1,0.33,2.56,215,19,71.67,48.72,109,1,36.33,2.56,125,22,41.67,56.41,42.41,54.86,64.98,21,2,7,5.13,34,7,11.33,17.95,30,6,10,15.38,118,20,39.33,51.28,0,0,0,0,2.52,20,3,6.67,7.69,2,2,0.67,5.13,19,2,6.33,5.13,139,9,46.33,23.08,93,17,31,43.59,4,1,1.33,2.56,7,3,2.33,7.69,35.77,44,7,14.67,17.95,0,0,0,0,33,10,11,25.64,19,3,6.33,7.69,139,8,46.33,20.51,158,12,52.67,30.77,15,7,5,17.95,2,2,0.67,5.13,32,4,10.67,10.26,0,0,0,0,26,4,8.67,10.26,67,13,22.33,33.33,188,13,62.67,33.33,15,7,5,17.95,158,14,52.67,35.9,300,39,9,4,3,10.26,7,3,2.33,7.69,6.18
2007631,"NLA06608-0167",2007,1,"7/23/2007","UMW","PLNLOW","UMW",0,0,0,0,9,3,19.57,37.5,60.87,95.65,100,23,4,50,50,0,0,0,0,9,2,19.57,25,1,1,2.17,12.5,0,0,0,0,8,2,17.39,25,0,0,0,0,23,4,50,50,31.82,70.45,93.18,0,0,0,0,1,1,2.17,12.5,1,1,2.17,12.5,8,2,17.39,25,0,0,0,0,1.73,0,0,0,0,20,3,43.48,37.5,0,0,0,0,22,3,47.83,37.5,8,2,17.39,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,5,80.43,62.5,0,0,0,0,1,1,2.17,12.5,15,2,32.61,25,38,6,82.61,75,12,2,26.09,25,0,0,0,0,0,0,0,0,0,0,0,0,8,2,17.39,25,0,0,0,0,38,6,82.61,75,38,6,82.61,75,46,8,1,1,2.17,12.5,0,0,0,0,7.86
2007632,"NLA06608-0167",2007,2,"8/29/2007","UMW","PLNLOW","UMW",0,0,0,0,0,0,0,0,85.71,100,100,7,2,63.64,33.33,2,2,18.18,33.33,1,1,9.09,16.67,0,0,0,0,0,0,0,0,2,2,18.18,33.33,0,0,0,0,7,2,63.64,33.33,54.55,72.73,90.91,1,1,9.09,16.67,2,2,18.18,33.33,1,1,9.09,16.67,2,2,18.18,33.33,0,0,0,0,1.42,0,0,0,0,1,1,9.09,16.67,0,0,0,0,2,2,18.18,33.33,1,1,9.09,16.67,1,1,9.09,16.67,1,1,9.09,16.67,0,0,0,0,0,0,0,0,0,9,4,81.82,66.67,0,0,0,0,0,0,0,0,8,3,72.73,50,8,3,72.73,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9.09,16.67,2,2,18.18,33.33,8,3,72.73,50,9,4,81.82,66.67,11,6,0,0,0,0,1,1,9.09,16.67,8.25
2007633,"NLA06608-0168",2007,1,"6/13/2007","PLAINS","PLNLOW","TPL",65,1,21.67,3.7,140,5,46.67,18.52,30,70,100,11,5,3.67,18.52,53,9,17.67,33.33,25,7,8.33,25.93,2,1,0.67,3.7,0,0,0,0,246,11,82,40.74,65,1,21.67,3.7,18,6,6,22.22,29.82,65.6,75.69,18,3,6,11.11,36,6,12,22.22,33,5,11,18.52,56,8,18.67,29.63,0,0,0,0,2.23,0,0,0,0,12,6,4,22.22,27,2,9,7.41,245,14,81.67,51.85,7,5,2.33,18.52,3,1,1,3.7,141,5,47,18.52,0,0,0,0,0,0,0,0,0,28,11,9.33,40.74,29,4,9.67,14.81,70,4,23.33,14.81,92,5,30.67,18.52,160,14,53.33,51.85,10,3,3.33,11.11,2,1,0.67,3.7,0,0,0,0,0,0,0,0,7,5,2.33,18.52,133,8,44.33,29.63,160,14,53.33,51.85,244,19,81.33,70.37,300,27,15,2,5,7.41,141,5,47,18.52,7.84
2007634,"NLA06608-0169",2007,1,"7/5/2007","WMTNS","WMTNS","WMT",0,0,0,0,65,5,21.67,22.73,46.05,82.89,94.74,76,7,25.33,31.82,127,6,42.33,27.27,10,2,3.33,9.09,5,1,1.67,4.55,0,0,0,0,95,10,31.67,45.45,0,0,0,0,77,8,25.67,36.36,16.13,40.55,59.45,17,1,5.67,4.55,19,3,6.33,13.64,18,2,6,9.09,118,7,39.33,31.82,0,0,0,0,2.57,15,2,5,9.09,6,1,2,4.55,119,3,39.67,13.64,199,9,66.33,40.91,70,7,23.33,31.82,1,1,0.33,4.55,50,4,16.67,18.18,18.42,14,2,4.67,9.09,0,0,0,0,66,6,22,27.27,119,3,39.67,13.64,5,2,1.67,9.09,72,7,24,31.82,91,6,30.33,27.27,2,2,0.67,9.09,5,1,1.67,4.55,0,0,0,0,15,2,5,9.09,55,5,18.33,22.73,109,6,36.33,27.27,91,6,30.33,27.27,137,10,45.67,45.45,300,22,1,1,0.33,4.55,48,3,16,13.64,6.05
2007635,"NLA06608-0169",2007,2,"9/13/2007","WMTNS","WMTNS","WMT",9,2,3,7.41,29,7,9.67,25.93,59.38,88.54,95.83,97,9,32.33,33.33,113,5,37.67,18.52,21,2,7,7.41,0,0,0,0,0,0,0,0,139,16,46.33,59.26,9,2,3,7.41,113,13,37.67,48.15,23.29,50.34,63.7,6,1,2,3.7,8,2,2.67,7.41,8,2,2.67,7.41,57,11,19,40.74,0,0,0,0,2.58,0,0,0,0,76,2,25.33,7.41,43,3,14.33,11.11,175,11,58.33,40.74,25,8,8.33,29.63,0,0,0,0,44,4,14.67,14.81,77.32,75,5,25,18.52,0,0,0,0,109,8,36.33,29.63,44,4,14.67,14.81,84,6,28,22.22,51,9,17,33.33,135,8,45,29.63,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.33,3.7,24,7,8,25.93,136,10,45.33,37.04,135,8,45,29.63,239,15,79.67,55.56,300,27,2,1,0.67,3.7,40,3,13.33,11.11,7.28
